Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
Perfect Blue,パーフェクトブルー,1,Novel,R+ - Mild Nudity,-,Movie,Madhouse,8.50,243770 ,Ranked #107,Popularity #327,464148,https://myanimelist.net/anime/437/Perfect_Blue,Dementia;Drama;Horror;Psychological,Madhouse
Summer Wars,サマーウォーズ,1,Original,PG-13 - Teens 13 or older,-,Movie,Madhouse,8.07,257789 ,Ranked #463,Popularity #344,448840,https://myanimelist.net/anime/5681/Summer_Wars,Sci-Fi;Comedy,Madhouse
Fighting Spirit,はじめの一歩 THE FIGHTING!,75,Manga,PG-13 - Teens 13 or older,Fall 2000,TV,Madhouse,8.74,200008 ,Ranked #38,Popularity #360,423504,https://myanimelist.net/anime/263/Hajime_no_Ippo,Comedy;Sports;Drama;Shounen,Madhouse
Chobits,ちょびっツ,26,Manga,PG-13 - Teens 13 or older,Spring 2002,TV,Madhouse,7.42,219358 ,Ranked #1875,Popularity #361,421078,https://myanimelist.net/anime/59/Chobits,Sci-Fi;Comedy;Drama;Romance;Ecchi;Seinen,Madhouse
Black Lagoon: The Second Barrage,BLACK LAGOON The Second Barrage,12,Manga,R - 17+ (violence & profanity),Fall 2006,TV,Madhouse,8.18,252689 ,Ranked #335,Popularity #375,411476,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,Action;Seinen,Madhouse
Paprika,パプリカ,1,Novel,R+ - Mild Nudity,-,Movie,Madhouse,8.06,205431 ,Ranked #465,Popularity #381,405085,https://myanimelist.net/anime/1943/Paprika,Dementia;Fantasy;Horror;Mystery;Psychological;Sci-Fi;Thriller,Madhouse
A Place Further Than The Universe,宇宙よりも遠い場所,13,Original,PG-13 - Teens 13 or older,Winter 2018,TV,Madhouse,8.55,161514 ,Ranked #86,Popularity #405,383907,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,Adventure;Comedy;Drama,Madhouse
Chihayafuru,ちはやふる,25,Manga,PG-13 - Teens 13 or older,Fall 2011,TV,Madhouse,8.22,147901 ,Ranked #294,Popularity #410,378284,https://myanimelist.net/anime/10800/Chihayafuru,Drama;Game;Josei;School;Slice of Life;Sports,Madhouse
Cardcaptor Sakura,カードキャプターさくら,70,Manga,PG - Children,Spring 1998,TV,Madhouse,8.15,173988 ,Ranked #361,Popularity #433,361049,https://myanimelist.net/anime/232/Cardcaptor_Sakura,Adventure;Comedy;Drama;Magic;Romance;Fantasy;School;Shoujo,Madhouse
The Tatami Galaxy,四畳半神話大系,11,Novel,R - 17+ (violence & profanity),Spring 2010,TV,Madhouse,8.60,109223 ,Ranked #69,Popularity #459,344657,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,Mystery;Comedy;Psychological;Romance,Madhouse
Rainbow,RAINBOW 二舎六房の七人,26,Manga,R - 17+ (violence & profanity),Spring 2010,TV,Madhouse,8.51,125888 ,Ranked #102,Popularity #486,328137,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,Drama;Historical;Seinen;Thriller,Madhouse
Paranoia Agent,妄想代理人,13,Original,R+ - Mild Nudity,Winter 2004,TV,Madhouse,7.68,122073 ,Ranked #1085,Popularity #501,316751,https://myanimelist.net/anime/323/Mousou_Dairinin,Mystery;Dementia;Police;Psychological;Supernatural;Drama;Thriller,Madhouse
Redline,REDLINE,1,Original,R+ - Mild Nudity,-,Movie,Madhouse,8.29,158139 ,Ranked #235,Popularity #557,288743,https://myanimelist.net/anime/6675/Redline,Action;Sci-Fi;Cars;Sports,Madhouse
Beck: Mongolian Chop Squad,ベック,26,Manga,R - 17+ (violence & profanity),Fall 2004,TV,Madhouse,8.31,116375 ,Ranked #220,Popularity #588,276735,https://myanimelist.net/anime/57/Beck,Comedy;Drama;Music;Shounen;Slice of Life,Madhouse
Devil May Cry,デビル メイ クライ,12,Game,R - 17+ (violence & profanity),Summer 2007,TV,Madhouse,6.96,147083 ,Ranked #3874,Popularity #600,271747,https://myanimelist.net/anime/1726/Devil_May_Cry,Action;Demons;Fantasy,Madhouse
Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,26,Manga,R - 17+ (violence & profanity),Fall 2007,TV,Madhouse,8.28,122619 ,Ranked #244,Popularity #604,269695,https://myanimelist.net/anime/3002/Gyakkyou_Burai_Kaiji__Ultimate_Survivor,Game;Psychological;Thriller;Seinen,Madhouse
ChäoS;HEAd,カオスヘッド,12,Visual novel,R - 17+ (violence & profanity),Fall 2008,TV,Madhouse,6.35,139326 ,Ranked #6773,Popularity #609,264621,https://myanimelist.net/anime/4975/ChäoS_HEAd,Sci-Fi;Harem;Mystery;Psychological;Supernatural,Madhouse
Alderamin on the Sky,ねじ巻き精霊戦記 天鏡のアルデラミン,13,Light novel,R - 17+ (violence & profanity),Summer 2016,TV,Madhouse,7.70,130866 ,Ranked #1031,Popularity #622,263080,https://myanimelist.net/anime/31764/Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin,Action;Adventure;Fantasy;Military,Madhouse
-,ワンパンマン OVA「ロード・トゥ・ヒーロー」,1,Web manga,R - 17+ (violence & profanity),-,OVA,Madhouse,7.72,150393 ,Ranked #989,Popularity #629,261761,https://myanimelist.net/anime/31704/One_Punch_Man__Road_to_Hero,Action;Sci-Fi;Comedy;Parody;Super Power;Supernatural,Madhouse
-,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,6.62,162679 ,Ranked #5418,Popularity #630,259778,https://myanimelist.net/anime/9515/Highschool_of_the_Dead__Drifters_of_the_Dead,Comedy;Ecchi;Supernatural,Madhouse
The Ambition of Oda Nobuna,織田信奈の野望,12,Light novel,PG-13 - Teens 13 or older,Summer 2012,TV,"Madhouse,             Studio Gokumi",7.43,126296 ,Ranked #1846,Popularity #643,255625,https://myanimelist.net/anime/11933/Oda_Nobuna_no_Yabou,Comedy;Historical;Romance,Madhouse
-,ワンパンマン,6,Web manga,R - 17+ (violence & profanity),-,Special,Madhouse,7.71,136200 ,Ranked #1028,Popularity #671,248347,https://myanimelist.net/anime/31772/One_Punch_Man_Specials,Action;Comedy;Parody;Sci-Fi;Super Power;Supernatural,Madhouse
Black Lagoon: Roberta's Blood Trail,BLACK LAGOON Roberta's Blood Trail,5,Manga,R+ - Mild Nudity,-,OVA,Madhouse,8.04,129285 ,Ranked #497,Popularity #737,227517,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,Action;Seinen,Madhouse
Fighting Spirit: New Challenger,はじめの一歩 新シリーズ,26,Manga,PG-13 - Teens 13 or older,Winter 2009,TV,Madhouse,8.66,127605 ,Ranked #52,Popularity #764,217945,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,Comedy;Sports;Drama;Shounen,Madhouse
Tokyo Godfathers,東京ゴッドファーザーズ,1,Original,PG-13 - Teens 13 or older,-,Movie,Madhouse,8.29,106430 ,Ranked #236,Popularity #766,217528,https://myanimelist.net/anime/759/Tokyo_Godfathers,Comedy;Drama,Madhouse
Magical Warfare,魔法戦争,12,Light novel,PG-13 - Teens 13 or older,Winter 2014,TV,Madhouse,6.01,98747 ,Ranked #8445,Popularity #767,216969,https://myanimelist.net/anime/19769/Mahou_Sensou,Action;Fantasy;Magic,Madhouse
Death Billiards,デス・ビリヤード,1,Original,R - 17+ (violence & profanity),-,Movie,Madhouse,7.92,118668 ,Ranked #667,Popularity #814,205280,https://myanimelist.net/anime/14353/Death_Billiards,Game;Mystery;Psychological;Drama;Thriller,Madhouse
Ace of Diamond,ダイヤのA[エース],75,Manga,PG-13 - Teens 13 or older,Fall 2013,TV,"Production I.G,             Madhouse",8.11,87257 ,Ranked #406,Popularity #846,197206,https://myanimelist.net/anime/18689/Diamond_no_Ace,Comedy;School;Shounen;Sports,Madhouse
Sunday Without God,神さまのいない日曜日,12,Light novel,R - 17+ (violence & profanity),Summer 2013,TV,Madhouse,7.33,82532 ,Ranked #2235,Popularity #848,196981,https://myanimelist.net/anime/16009/Kamisama_no_Inai_Nichiyoubi,Adventure;Mystery;Fantasy,Madhouse
-,ちはやふる 2,25,Manga,PG-13 - Teens 13 or older,Winter 2013,TV,Madhouse,8.41,107303 ,Ranked #148,Popularity #850,196850,https://myanimelist.net/anime/14397/Chihayafuru_2,Drama;Game;Josei;School;Slice of Life;Sports,Madhouse
Texhnolyze,TEXHNOLYZE,22,Original,R+ - Mild Nudity,Spring 2003,TV,Madhouse,7.76,42943 ,Ranked #914,Popularity #854,196252,https://myanimelist.net/anime/26/Texhnolyze,Action;Sci-Fi;Psychological;Drama,Madhouse
One Outs,ワンナウツ,25,Manga,PG-13 - Teens 13 or older,Fall 2008,TV,Madhouse,8.35,94598 ,Ranked #187,Popularity #856,195991,https://myanimelist.net/anime/5040/One_Outs,Sports;Psychological;Seinen,Madhouse
Hajime No Ippo: The Fighting!,はじめの一歩 Rising,25,Manga,PG-13 - Teens 13 or older,Fall 2013,TV,"Madhouse,             MAPPA",8.59,105669 ,Ranked #72,Popularity #882,191888,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,Comedy;Sports;Drama;Shounen,Madhouse
-,青い文学シリーズ,12,Novel,R - 17+ (violence & profanity),Fall 2009,TV,Madhouse,7.73,52867 ,Ranked #970,Popularity #915,182841,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series,Drama;Historical;Psychological;Seinen;Thriller,Madhouse
Boogiepop and Others,ブギーポップは笑わない,18,Light novel,R - 17+ (violence & profanity),Winter 2019,TV,Madhouse,7.09,48828 ,Ranked #3310,Popularity #920,182899,https://myanimelist.net/anime/37451/Boogiepop_wa_Warawanai_2019,Mystery;Dementia;Horror;Psychological;Supernatural;Drama,Madhouse
Paradise Kiss,Paradise kiss,12,Manga,R - 17+ (violence & profanity),Fall 2005,TV,Madhouse,7.84,75194 ,Ranked #771,Popularity #985,168517,https://myanimelist.net/anime/322/Paradise_Kiss,Comedy;Drama;Josei;Romance;Slice of Life,Madhouse
Gunslinger Girl,ガンスリンガー・ガール,13,Manga,R - 17+ (violence & profanity),Fall 2003,TV,Madhouse,7.41,67419 ,Ranked #1897,Popularity #991,167145,https://myanimelist.net/anime/134/Gunslinger_Girl,Action;Psychological;Military;Drama;Sci-Fi,Madhouse
Death Note: Relight,ディレクターズカット完全決着版 〜リライト,2,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,7.70,74611 ,Ranked #1050,Popularity #994,166249,https://myanimelist.net/anime/2994/Death_Note__Rewrite,Mystery;Police;Psychological;Supernatural;Thriller,Madhouse
Tenjho Tenge,天上天下,24,Manga,R - 17+ (violence & profanity),Spring 2004,TV,Madhouse,6.91,79215 ,Ranked #4078,Popularity #1001,165064,https://myanimelist.net/anime/174/Tenjou_Tenge,Action;Ecchi;Martial Arts;Comedy;Super Power;School;Shounen,Madhouse
Gungrave,ガングレイヴ,26,Game,R - 17+ (violence & profanity),Fall 2003,TV,Madhouse,7.85,59016 ,Ranked #756,Popularity #1021,161353,https://myanimelist.net/anime/267/Gungrave,Action;Drama;Sci-Fi;Seinen;Super Power,Madhouse
