Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
-,はじめの一歩 間柴vs木村 死刑執行,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,8.23,51533 ,Ranked #280,Popularity #1759,83573,https://myanimelist.net/anime/265/Hajime_no_Ippo__Mashiba_vs_Kimura,Comedy;Sports;Shounen,Madhouse
The Story of Saiunkoku,彩雲国物語,39,Light novel,PG-13 - Teens 13 or older,Spring 2006,TV,Madhouse,7.92,29528 ,Ranked #654,Popularity #1762,83311,https://myanimelist.net/anime/957/Saiunkoku_Monogatari,Adventure;Comedy;Drama;Fantasy;Historical;Romance,Madhouse
Sonny Boy,Sonny Boy,12,Original,None,Summer 2021,TV,Madhouse,7.68,6781 ,Ranked #1088,Popularity #1804,80608,https://myanimelist.net/anime/48849/Sonny_Boy,Sci-Fi;Super Power,Madhouse
Magical☆Shopping Arcade Abenobashi,アベノ橋魔法☆商店街,13,Original,R+ - Mild Nudity,Spring 2002,TV,"Gainax,             Madhouse",7.25,29758 ,Ranked #2588,Popularity #1871,76224,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai,Comedy;Parody;Ecchi;Fantasy,Madhouse
X,X−エックス−,24,Manga,R+ - Mild Nudity,Fall 2001,TV,Madhouse,7.42,31140 ,Ranked #1868,Popularity #1916,72394,https://myanimelist.net/anime/156/X,Action;Super Power;Drama;Magic;Romance;Fantasy;Shoujo,Madhouse
Kiba,牙-KIBA-,51,Original,PG-13 - Teens 13 or older,Spring 2006,TV,Madhouse,7.31,28402 ,Ranked #2327,Popularity #1947,70444,https://myanimelist.net/anime/845/Kiba,Adventure;Fantasy;Shounen,Madhouse
Princess Resurrection,怪物王女,25,Manga,PG-13 - Teens 13 or older,Spring 2007,TV,Madhouse,7.00,24316 ,Ranked #3742,Popularity #1948,70390,https://myanimelist.net/anime/2130/Kaibutsu_Oujo,Action;Comedy;Supernatural;Horror;Vampire;Shounen,Madhouse
The Animatrix,アニマトリックス,9,Other,R - 17+ (violence & profanity),-,OVA,"Madhouse,             Studio 4°C",7.30,38156 ,Ranked #2364,Popularity #2000,67818,https://myanimelist.net/anime/1303/The_Animatrix,Action;Drama;Sci-Fi,Madhouse
Overlord: The Undead King,【前編】劇場版総集編 オーバーロード 不死者の王,1,Light novel,R - 17+ (violence & profanity),-,Movie,Madhouse,7.61,19310 ,Ranked #1269,Popularity #2094,63959,https://myanimelist.net/anime/34161/Overlord_Movie_1__Fushisha_no_Ou,Action;Game;Supernatural;Magic;Fantasy,Madhouse
-,ケモノヅメ,13,Original,R+ - Mild Nudity,Summer 2006,TV,Madhouse,7.38,16155 ,Ranked #2037,Popularity #2108,63031,https://myanimelist.net/anime/1454/Kemonozume,Action;Demons;Horror;Romance;Supernatural,Madhouse
Ace of Diamond Act II,ダイヤのA[エース] actII,52,Manga,PG-13 - Teens 13 or older,Spring 2019,TV,Madhouse,8.24,27581 ,Ranked #273,Popularity #2114,63325,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II,Comedy;School;Shounen;Sports,Madhouse
No Guns Life,ノー・ガンズ・ライフ,12,Manga,PG-13 - Teens 13 or older,Summer 2020,TV,Madhouse,7.06,20794 ,Ranked #3434,Popularity #2128,62557,https://myanimelist.net/anime/40529/No_Guns_Life_2nd_Season,Action;Sci-Fi;Drama;Seinen,Madhouse
Final Fantasy VII: Last Order,ラストオーダー -ファイナルファンタジーVII-,1,Game,PG-13 - Teens 13 or older,-,Special,Madhouse,7.32,36915 ,Ranked #2288,Popularity #2146,61592,https://myanimelist.net/anime/408/Final_Fantasy_VII__Last_Order,Action;Adventure;Drama;Fantasy;Sci-Fi,Madhouse
The Princess and the Pilot,とある飛空士への追憶,1,Light novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.64,25249 ,Ranked #1190,Popularity #2161,61086,https://myanimelist.net/anime/9000/Toaru_Hikuushi_e_no_Tsuioku,Adventure;Military;Romance,Madhouse
Neuro: Supernatural Detective,魔人探偵 脳噛ネウロ,25,Manga,R - 17+ (violence & profanity),Fall 2007,TV,Madhouse,7.61,24045 ,Ranked #1266,Popularity #2162,60986,https://myanimelist.net/anime/2985/Majin_Tantei_Nougami_Neuro,Mystery;Comedy;Demons;Supernatural;Shounen,Madhouse
-,ピアノの森 The Perfect World of Kai,1,Manga,G - All Ages,-,Movie,Madhouse,7.66,22897 ,Ranked #1136,Popularity #2223,57793,https://myanimelist.net/anime/2594/Piano_no_Mori,Adventure;Music;Comedy;Drama;School;Seinen,Madhouse
-,チーズスイートホーム,104,Manga,G - All Ages,Spring 2008,TV,Madhouse,7.69,20813 ,Ranked #1067,Popularity #2246,56617,https://myanimelist.net/anime/3841/Chis_Sweet_Home,Comedy;Slice of Life,Madhouse
AFTERLOST,消滅都市,12,Game,PG-13 - Teens 13 or older,Spring 2019,TV,Madhouse,5.45,12923 ,Ranked #10262,Popularity #2258,56495,https://myanimelist.net/anime/37952/Shoumetsu_Toshi,Action;Adventure;Mystery;Drama;Fantasy,Madhouse
-,魍魎の匣,13,Novel,R - 17+ (violence & profanity),Fall 2008,TV,Madhouse,7.18,13393 ,Ranked #2901,Popularity #2301,54913,https://myanimelist.net/anime/4879/Mouryou_no_Hako,Mystery;Psychological;Supernatural;Thriller;Seinen,Madhouse
Pet Shop of Horrors,Pet Shop of Horrors (ペットショップ・オブ・ホラーズ),4,Manga,R - 17+ (violence & profanity),Winter 1999,TV,Madhouse,7.26,26754 ,Ranked #2548,Popularity #2303,54883,https://myanimelist.net/anime/326/Petshop_of_Horrors,Horror;Josei;Mystery;Supernatural,Madhouse
Overlord: The Dark Hero,【後編】劇場版総集編 オーバーロード 漆黒の英雄,1,Light novel,R - 17+ (violence & profanity),-,Movie,Madhouse,7.65,16845 ,Ranked #1174,Popularity #2305,55135,https://myanimelist.net/anime/34428/Overlord_Movie_2__Shikkoku_no_Eiyuu,Action;Game;Supernatural;Magic;Fantasy,Madhouse
Record of Lodoss War,ロードス島戦記,13,Novel,R - 17+ (violence & profanity),-,OVA,Madhouse,7.39,20057 ,Ranked #1987,Popularity #2309,54619,https://myanimelist.net/anime/207/Lodoss-tou_Senki,Action;Adventure;Fantasy;Magic;Shounen;Supernatural,Madhouse
-,ブラック・ラグーン オマケ,7,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.81,27732 ,Ranked #4477,Popularity #2312,54508,https://myanimelist.net/anime/8440/Black_Lagoon_Omake,Comedy,Madhouse
Battle Angel Alita,銃夢 GUNNM,2,Manga,R+ - Mild Nudity,-,OVA,Madhouse,7.09,23426 ,Ranked #3320,Popularity #2458,48740,https://myanimelist.net/anime/1016/Gunnm,Drama;Mecha;Sci-Fi;Shounen,Madhouse
Captain Tsubasa,キャプテン翼 (2001),52,Manga,PG-13 - Teens 13 or older,Fall 2001,TV,"Madhouse,             Group TAC",7.40,28341 ,Ranked #1951,Popularity #2537,45879,https://myanimelist.net/anime/1614/Captain_Tsubasa__Road_to_2002,Action;Sports;Shounen,Madhouse
Chobits: Chibits - Sumomo and Kotoko Deliver,ちょびっツ ちびっツ すもも・琴子　届ける,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.99,25179 ,Ranked #3745,Popularity #2605,43697,https://myanimelist.net/anime/596/Chobits__Chibits,Romance;Comedy,Madhouse
Ride Back,ライドバック,12,Manga,PG-13 - Teens 13 or older,Winter 2009,TV,Madhouse,7.29,19060 ,Ranked #2423,Popularity #2611,43553,https://myanimelist.net/anime/4618/RideBack,Action;Drama;Mecha;School;Sci-Fi,Madhouse
Fighting Spirit Special,はじめの一歩 THE FIGHTING! ボクサーの拳,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,8.10,24050 ,Ranked #423,Popularity #2660,41543,https://myanimelist.net/anime/12069/Hajime_no_Ippo__Boxer_no_Kobushi,Comedy;Drama;Shounen;Sports,Madhouse
Beyblade G Revolution,爆転シュート　ベイブレードＧレボリューション,52,Manga,PG - Children,Winter 2003,TV,Madhouse,6.92,25375 ,Ranked #4022,Popularity #2677,41312,https://myanimelist.net/anime/1668/Bakuten_Shoot_Beyblade_G_Revolution,Action;Adventure;Comedy;Sci-Fi;Shounen;Sports,Madhouse
Allison & Lillia,アリソンとリリア,26,Light novel,PG-13 - Teens 13 or older,Spring 2008,TV,Madhouse,7.34,12974 ,Ranked #2195,Popularity #2746,39166,https://myanimelist.net/anime/3549/Allison_to_Lillia,Action;Adventure;Shounen,Madhouse
Barefoot Gen,はだしのゲン,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.79,15212 ,Ranked #860,Popularity #2747,39184,https://myanimelist.net/anime/1824/Hadashi_no_Gen,Drama;Historical,Madhouse
Tenjho Tenge: The Ultimate Fight,天上天下ULTIMATE FIGHT,2,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,7.06,21585 ,Ranked #3453,Popularity #2761,38776,https://myanimelist.net/anime/448/Tenjou_Tenge__The_Ultimate_Fight,Adventure;Drama;Martial Arts;Romance;Shounen;Supernatural,Madhouse
-,ちはやふる２　わがみよにふるながめせしまに,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.03,18031 ,Ranked #3594,Popularity #2809,37644,https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni,Comedy;Josei;School;Slice of Life,Madhouse
DNA²,Ｄ・Ｎ・Ａ²　～何処かで失くしたあいつのアイツ～,12,Manga,PG-13 - Teens 13 or older,Fall 1994,TV,"Madhouse,             Studio Deen",6.66,17891 ,Ranked #5203,Popularity #2810,37651,https://myanimelist.net/anime/563/DNA²,Sci-Fi;Comedy;Romance,Madhouse
-,仮面のメイドガイ,12,Manga,R+ - Mild Nudity,Spring 2008,TV,Madhouse,7.02,16602 ,Ranked #3674,Popularity #2820,37461,https://myanimelist.net/anime/3616/Kamen_no_Maid_Guy,Action;Comedy;Super Power;Ecchi;Shounen,Madhouse
The Gokusen,ごくせん,13,Manga,R - 17+ (violence & profanity),Winter 2004,TV,Madhouse,7.42,17620 ,Ranked #1879,Popularity #2839,37027,https://myanimelist.net/anime/242/Gokusen,Slice of Life;Comedy;Drama;School;Josei,Madhouse
Wicked City,妖獣都市,1,Novel,R+ - Mild Nudity,-,Movie,Madhouse,6.45,14937 ,Ranked #6319,Popularity #2862,36614,https://myanimelist.net/anime/1107/Youjuu_Toshi,Action;Adventure;Demons;Drama;Horror;Super Power,Madhouse
Tales of Saiunkoku,彩雲国物語 第2シリーズ,39,Light novel,PG-13 - Teens 13 or older,Spring 2007,TV,Madhouse,8.06,15210 ,Ranked #466,Popularity #2878,36057,https://myanimelist.net/anime/1914/Saiunkoku_Monogatari_2nd_Season,Adventure;Comedy;Drama;Fantasy;Historical;Romance,Madhouse
Chobits: Hibiya and Kotoko Chat,ちょびっツ,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.97,19250 ,Ranked #3812,Popularity #2882,35862,https://myanimelist.net/anime/1311/Chobits_Recap,Ecchi;Romance;Comedy;Sci-Fi;Drama,Madhouse
Ninja Scroll: The Series,獣兵衛忍風帖「龍宝玉篇」,13,Original,R - 17+ (violence & profanity),Spring 2003,TV,Madhouse,6.69,15174 ,Ranked #5052,Popularity #2903,35467,https://myanimelist.net/anime/618/Juubee_Ninpuuchou__Ryuuhougyoku-hen,Adventure;Horror;Magic;Martial Arts;Samurai;Shounen;Supernatural,Madhouse
-,カードキャプターさくら クリアカード編 プロローグ さくらとふたつのくま,1,Manga,G - All Ages,-,OVA,Madhouse,7.79,16061 ,Ranked #857,Popularity #2931,35027,https://myanimelist.net/anime/35320/Cardcaptor_Sakura__Clear_Card-hen_Prologue_-_Sakura_to_Futatsu_no_Kuma,Fantasy;Romance;Shoujo,Madhouse
Mr. Tonegawa: Middle Management Blues,中間管理録トネガワ,24,Manga,PG-13 - Teens 13 or older,Summer 2018,TV,Madhouse,7.14,9120 ,Ranked #3116,Popularity #3020,33092,https://myanimelist.net/anime/37338/Chuukan_Kanriroku_Tonegawa,Comedy;Parody;Psychological;Drama;Seinen,Madhouse
X - The Movie,"エックス, X/1999",1,Manga,R - 17+ (violence & profanity),-,Movie,Madhouse,6.58,16778 ,Ranked #5589,Popularity #3051,32474,https://myanimelist.net/anime/155/X_1999,Action;Drama;Fantasy;Horror;Magic;Sci-Fi;Supernatural,Madhouse
-,銀河英雄伝説: わが征くは星の大海,1,Novel,PG-13 - Teens 13 or older,-,Movie,"Artland,             Madhouse,             Kitty Films",7.93,18308 ,Ranked #635,Popularity #3078,32140,https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai,Action;Military;Sci-Fi;Space,Madhouse
Your Voice -KIMIKOE-,きみの声をとどけたい,1,Original,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.06,4919 ,Ranked #3480,Popularity #3207,29562,https://myanimelist.net/anime/33218/Kimi_no_Koe_wo_Todoketai,Drama,Madhouse
-,takt op.Destiny,Unknown,Original,None,Fall 2021,TV,"Madhouse,             MAPPA",N/A,- user,Ranked N/A,Popularity #3234,28901,https://myanimelist.net/anime/48556/Takt_Op_Destiny,Action;Music;Fantasy,Madhouse
-,ケロちゃんにおまかせ！,1,Manga,G - All Ages,-,Movie,Madhouse,7.33,14739 ,Ranked #2222,Popularity #3258,28635,https://myanimelist.net/anime/1078/Cardcaptor_Sakura__Kero-chan_ni_Omakase,Comedy;Shoujo,Madhouse
-,スーパーナチュラル・ザ・アニメーション,22,Other,R - 17+ (violence & profanity),-,OVA,Madhouse,7.01,7895 ,Ranked #3714,Popularity #3259,28620,https://myanimelist.net/anime/8986/Supernatural_The_Animation,Action;Demons;Horror;Supernatural,Madhouse
Sunday Without God: Memories,神さまのいない日曜日 第13話 「記憶」,1,Light novel,R - 17+ (violence & profanity),-,Special,Madhouse,6.90,13912 ,Ranked #4123,Popularity #3381,26685,https://myanimelist.net/anime/20423/Kamisama_no_Inai_Nichiyoubi__Kioku,Mystery;Fantasy,Madhouse
Birdy the Mighty,鉄腕バーディー,4,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.10,8869 ,Ranked #3280,Popularity #3424,26013,https://myanimelist.net/anime/566/Tetsuwan_Birdy,Action;Comedy;Sci-Fi;Shounen,Madhouse
-,すてきですわ、さくらちゃん!　知世のカードキャプターさくら活躍ビデオ日記!,3,Manga,G - All Ages,-,Special,Madhouse,7.48,12633 ,Ranked #1665,Popularity #3438,25834,https://myanimelist.net/anime/2424/Suteki_Desu_wa_Sakura-chan_Tomoyo_no_Cardcaptor_Sakura_Katsuyaku_Video_Nikki,Comedy;Shoujo,Madhouse
Chi's New Address,チーズスイートホーム あたらしいおうち,104,Manga,G - All Ages,Spring 2009,TV,Madhouse,7.74,9575 ,Ranked #961,Popularity #3442,25799,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi,Comedy;Kids;Slice of Life,Madhouse
Iron Man,アイアンマン,12,Other,PG-13 - Teens 13 or older,Fall 2010,TV,Madhouse,6.08,10951 ,Ranked #8150,Popularity #3459,25503,https://myanimelist.net/anime/6875/Iron_Man,Action;Mecha;Drama,Madhouse
Batman: Gotham Knight,バットマン ゴッサムナイト,6,Other,PG-13 - Teens 13 or older,-,OVA,"Bee Train,             Production I.G,             Madhouse,             Studio 4°C",6.97,15144 ,Ranked #3809,Popularity #3461,25514,https://myanimelist.net/anime/4094/Batman__Gotham_Knight,Action;Adventure;Martial Arts,Madhouse
Neo Tokyo,Manie-Manie 迷宮物語,3,Original,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.05,9542 ,Ranked #3513,Popularity #3478,25250,https://myanimelist.net/anime/1951/Manie-Manie__Meikyuu_Monogatari,Adventure;Fantasy;Horror;Sci-Fi;Supernatural,Madhouse
Ichigo 100% Original DVD Animation,いちご１００％　オリジナルDVDアニメーション,4,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.89,13910 ,Ranked #4153,Popularity #3485,25078,https://myanimelist.net/anime/981/Ichigo_100_OVA,Comedy;Ecchi;Harem;Romance;School;Shounen,Madhouse
-,ギャラクシーエンジェル,24,Game,PG-13 - Teens 13 or older,Spring 2001,TV,Madhouse,7.02,9582 ,Ranked #3667,Popularity #3500,24919,https://myanimelist.net/anime/383/Galaxy_Angel,Comedy;Sci-Fi,Madhouse
The irregular at magic high school: Get to Know Magic Studies!,よくわかる魔法科！,6,Light novel,PG-13 - Teens 13 or older,-,ONA,-,6.30,10443 ,Ranked #7051,Popularity #3518,24526,https://myanimelist.net/anime/23341/Yoku_Wakaru_Mahouka,Comedy;Magic,Madhouse
-,"ヘルズ, (ヘルズエンジェルス)",1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.91,8496 ,Ranked #4052,Popularity #3521,24487,https://myanimelist.net/anime/4983/Hells,Adventure;Comedy;Horror,Madhouse
-,無人惑星サヴァイヴ,52,Original,G - All Ages,Fall 2003,TV,"Madhouse,             Telecom Animation Film",7.71,8300 ,Ranked #1024,Popularity #3530,24328,https://myanimelist.net/anime/709/Mujin_Wakusei_Survive,Action;Adventure;Fantasy;Sci-Fi;Slice of Life,Madhouse
Blade,ブレイド,12,Other,R - 17+ (violence & profanity),Summer 2011,TV,Madhouse,6.23,9549 ,Ranked #7386,Popularity #3537,24269,https://myanimelist.net/anime/6920/Blade,Action;Drama;Horror;Vampire,Madhouse
-,ノーゲーム・ノーライフ ゼロ マナー映像,1,Unknown,G - All Ages,-,Movie,Madhouse,6.85,7937 ,Ranked #4335,Popularity #3565,24169,https://myanimelist.net/anime/37402/No_Game_No_Life__Zero_-_Manner_Movie,Comedy,Madhouse
My Wife is a High School Girl,おくさまは女子高生,13,Manga,PG-13 - Teens 13 or older,Summer 2005,TV,Madhouse,6.33,8987 ,Ranked #6912,Popularity #3566,23940,https://myanimelist.net/anime/470/Okusama_wa_Joshikousei_TV,Slice of Life;Comedy;Romance;Drama,Madhouse
X-Men,エックスメン,12,Other,PG-13 - Teens 13 or older,Spring 2011,TV,Madhouse,6.35,10812 ,Ranked #6815,Popularity #3585,23647,https://myanimelist.net/anime/6919/X-Men,Action;Drama;Super Power,Madhouse
Wolverine,ウルヴァリン,12,Other,PG-13 - Teens 13 or older,Winter 2011,TV,Madhouse,6.07,10335 ,Ranked #8210,Popularity #3634,23179,https://myanimelist.net/anime/6918/Wolverine,Action;Martial Arts;Super Power,Madhouse
-,りぜるまいん,24,Manga,R+ - Mild Nudity,Spring 2002,TV,"Madhouse,             Imagin",6.54,9112 ,Ranked #5793,Popularity #3676,22606,https://myanimelist.net/anime/197/Rizelmine,Sci-Fi;Comedy;Romance;Ecchi;School,Madhouse
Cyber City,CYBER CITY OEDO 808 (サイバーシティ オーエド ハチマルハチ),3,Original,R - 17+ (violence & profanity),-,OVA,Madhouse,7.18,8485 ,Ranked #2919,Popularity #3756,21628,https://myanimelist.net/anime/1352/Cyber_City_Oedo_808,Action;Adventure;Police;Sci-Fi,Madhouse
The Tatami Galaxy Specials,四畳半神話大系,3,Novel,PG-13 - Teens 13 or older,-,Special,Madhouse,6.31,9915 ,Ranked #7024,Popularity #3782,21273,https://myanimelist.net/anime/8985/Yojouhan_Shinwa_Taikei_Specials,Comedy,Madhouse
Pita-Ten,ぴたテン,26,Manga,G - All Ages,Spring 2002,TV,Madhouse,6.93,8953 ,Ranked #3995,Popularity #3799,21021,https://myanimelist.net/anime/162/Pita_Ten,Comedy;Romance;Fantasy;School;Shounen,Madhouse
Dragon Drive,ドラゴンドライブ,38,Manga,PG - Children,Summer 2002,TV,Madhouse,6.71,8199 ,Ranked #4937,Popularity #3813,20881,https://myanimelist.net/anime/296/Dragon_Drive,Action;Sci-Fi;Adventure;Comedy;Fantasy;School;Shounen,Madhouse
Sakura Wars,サクラ大戦,25,Game,PG-13 - Teens 13 or older,Spring 2000,TV,Madhouse,6.87,6253 ,Ranked #4235,Popularity #3823,20810,https://myanimelist.net/anime/561/Sakura_Taisen,Adventure;Mecha;Sci-Fi;Shounen,Madhouse
TenjhoTenge: The Past Chapter,天上天下　THE PAST CHAPTER,1,Manga,R - 17+ (violence & profanity),-,Movie,Madhouse,7.06,9376 ,Ranked #3452,Popularity #3835,20632,https://myanimelist.net/anime/760/Tenjou_Tenge__The_Past_Chapter,Adventure;Drama;Martial Arts;Romance;Shounen;Supernatural,Madhouse
-,マスターキートン,24,Manga,R - 17+ (violence & profanity),Fall 1998,TV,Madhouse,7.60,3973 ,Ranked #1307,Popularity #3840,20601,https://myanimelist.net/anime/1483/Master_Keaton,Adventure;Drama;Historical;Mystery;Seinen;Slice of Life,Madhouse
Mirage of Blaze,炎の蜃気楼 [ミラージュ],13,Light novel,PG-13 - Teens 13 or older,Winter 2002,TV,Madhouse,6.55,6860 ,Ranked #5755,Popularity #3859,20343,https://myanimelist.net/anime/1019/Honoo_no_Mirage,Action;Historical;Supernatural;Drama;Romance;School;Shounen Ai,Madhouse
-,アニ＊クリ15,15,Original,PG-13 - Teens 13 or older,-,Special,"Gonzo,             Gainax,             Production I.G,             Madhouse,             Studio 4°C,             Satelight,             CoMix Wave Films",6.77,9326 ,Ranked #4647,Popularity #3881,20073,https://myanimelist.net/anime/2832/AniKuri15,Slice of Life;Adventure;Fantasy;Magic;Game;Martial Arts;Comedy;Mecha;Super Power;Supernatural;School;Drama;Sci-Fi,Madhouse
World's End,アラタなるセカイ WORLD'S/START/LOAD/END,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.29,8313 ,Ranked #7074,Popularity #3977,18777,https://myanimelist.net/anime/14373/Arata_naru_Sekai__Worlds_Start_Load_End,Sci-Fi,Madhouse
-,デ・ジ･キャラット,16,Original,G - All Ages,Fall 1999,TV,Madhouse,6.74,8045 ,Ranked #4825,Popularity #3985,18756,https://myanimelist.net/anime/293/Di_Gi_Charat,Sci-Fi;Comedy;Fantasy,Madhouse
-,CLAMP IN WONDERLAND 2,1,Manga,G - All Ages,-,Music,Madhouse,7.46,10431 ,Ranked #1737,Popularity #4007,18512,https://myanimelist.net/anime/2768/CLAMP_in_Wonderland_2,Action;Fantasy;Magic;Comedy;Romance;Music;Drama,Madhouse
-,いちご100% 恋が始まる!? 撮影合宿 〜ゆれるココロが東へ西へ〜,1,Unknown,PG-13 - Teens 13 or older,-,Special,Madhouse,6.88,9323 ,Ranked #4201,Popularity #4128,17477,https://myanimelist.net/anime/642/Ichigo_100__Koi_ga_Hajimaru_Satsuei_Gasshuku_-_Yureru_Kokoro_ga_Higashi_e_Nishi_e,Ecchi;Romance;Shounen,Madhouse
-,秘密（トップシークレット） The Revelation,26,Manga,R+ - Mild Nudity,Spring 2008,TV,Madhouse,7.32,3301 ,Ranked #2276,Popularity #4158,17128,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation,Sci-Fi;Mystery;Police;Psychological;Shoujo,Madhouse
Strawberry 100%,いちご100%,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.87,9297 ,Ranked #4221,Popularity #4161,17085,https://myanimelist.net/anime/641/Ichigo_100_Special_2,Comedy;Ecchi;Romance;Shounen,Madhouse
-,劇場版総集編オーバーロードマナームービー,1,Light novel,G - All Ages,-,Movie,Madhouse,6.90,4365 ,Ranked #4088,Popularity #4184,16966,https://myanimelist.net/anime/36683/Overlord_Movie__Manner_Movie,Comedy,Madhouse
-,東京ＢＡＢＹＬＯＮ,2,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.71,7577 ,Ranked #4970,Popularity #4198,16714,https://myanimelist.net/anime/1043/Tokyo_Babylon,Action;Magic;Mystery;Supernatural,Madhouse
Demon City Shinjuku,魔界都市〈新宿〉,1,Novel,R - 17+ (violence & profanity),-,OVA,Madhouse,6.16,7314 ,Ranked #7784,Popularity #4230,16512,https://myanimelist.net/anime/499/Makai_Toshi_Shinjuku,Adventure;Horror;Romance;Shounen;Supernatural,Madhouse
Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,十兵衛ちゃん ーラブリー眼帯の秘密,13,Original,PG-13 - Teens 13 or older,Spring 1999,TV,Madhouse,6.66,6613 ,Ranked #5210,Popularity #4245,16406,https://myanimelist.net/anime/635/Juubee-chan__Lovely_Gantai_no_Himitsu,Action;Adventure;Comedy;Drama;Shounen,Madhouse
Beyond the Heavens,蒼天航路,26,Manga,R+ - Mild Nudity,Spring 2009,TV,Madhouse,7.29,3504 ,Ranked #2431,Popularity #4248,16342,https://myanimelist.net/anime/5226/Souten_Kouro,Action;Adventure;Historical,Madhouse
-,ナナ Specials,3,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,6.99,7799 ,Ranked #3758,Popularity #4275,16080,https://myanimelist.net/anime/1869/Nana_Recaps,Comedy;Drama;Music;Romance;Shoujo;Slice of Life,Madhouse
-,CLAMP IN WONDERLAND,1,Manga,G - All Ages,-,Music,animate Film,6.85,9267 ,Ranked #4305,Popularity #4277,16057,https://myanimelist.net/anime/2274/CLAMP_in_Wonderland,Music,Madhouse
-,YAWARA!,124,Manga,PG-13 - Teens 13 or older,Fall 1989,TV,Madhouse,7.47,2662 ,Ranked #1718,Popularity #4281,16061,https://myanimelist.net/anime/691/Yawara,Action;Comedy;Drama;Martial Arts;Romance;Slice of Life;Sports,Madhouse
-,劇場版 オーバーロード　ぷれぷれぷれあです,2,Light novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.86,6178 ,Ranked #4250,Popularity #4294,16049,https://myanimelist.net/anime/36497/Overlord_Movie__Ple_Ple_Pleiades,Action;Comedy;Magic;Fantasy,Madhouse
-,羊のうた,4,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.20,5918 ,Ranked #7564,Popularity #4333,15512,https://myanimelist.net/anime/258/Hitsuji_no_Uta,Horror;Drama;Vampire,Madhouse
-,宝島,26,Novel,PG-13 - Teens 13 or older,Fall 1978,TV,"Madhouse,             TMS Entertainment",7.93,5171 ,Ranked #649,Popularity #4343,15388,https://myanimelist.net/anime/2618/Takarajima,Adventure;Mystery;Historical;Drama,Madhouse
A Wind Named Amnesia,風の名はアムネジア,1,Light novel,R+ - Mild Nudity,-,Movie,Madhouse,6.37,6457 ,Ranked #6696,Popularity #4345,15392,https://myanimelist.net/anime/1793/Kaze_no_Na_wa_Amnesia,Action;Dementia;Drama;Sci-Fi,Madhouse
Night Warriors: Darkstalkers' Revenge,ヴァンパイアハンター,4,Game,R - 17+ (violence & profanity),-,OVA,Madhouse,6.62,5953 ,Ranked #5403,Popularity #4367,15180,https://myanimelist.net/anime/1952/Vampire_Hunter,Action;Adventure;Supernatural;Drama;Vampire;Fantasy,Madhouse
-,ハイランダー,1,Unknown,R - 17+ (violence & profanity),-,Movie,Madhouse,6.74,7610 ,Ranked #4831,Popularity #4383,15036,https://myanimelist.net/anime/2178/Highlander__The_Search_for_Vengeance,Action;Horror;Sci-Fi,Madhouse
-,Needless+ -聖リリィ学園の秘密-,12,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.74,6483 ,Ranked #4795,Popularity #4396,14913,https://myanimelist.net/anime/7322/Needless___Saint_Lily_Gakuen_no_Himitsu,Comedy;Ecchi;School;Seinen,Madhouse
-,ダイヤのA[エース] OAD,3,Manga,PG-13 - Teens 13 or older,-,OVA,"Production I.G,             Madhouse",7.59,6650 ,Ranked #1317,Popularity #4425,14596,https://myanimelist.net/anime/25341/Diamond_no_Ace_OVA,Comedy;Sports;School;Shounen,Madhouse
