Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Hiiro no Kakera: The Tamayori Princess Saga,緋色の欠片,13,Visual novel,PG-13 - Teens 13 or older,Spring 2012,TV,Studio Deen,6.72,39355 ,Ranked #4919,Popularity #1544,99358,https://myanimelist.net/anime/12461/Hiiro_no_Kakera,Shoujo
Cardcaptor Sakura: Clear Card,カードキャプターさくら クリアカード編,22,Manga,PG - Children,Winter 2018,TV,Madhouse,7.65,30927 ,Ranked #1160,Popularity #1557,98941,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,Shoujo
Sailor Moon SuperS,美少女戦士セーラームーン Super S,39,Manga,PG-13 - Teens 13 or older,Spring 1995,TV,Toei Animation,7.59,50242 ,Ranked #1318,Popularity #1568,97701,https://myanimelist.net/anime/1239/Bishoujo_Senshi_Sailor_Moon_SuperS,Shoujo
King From Now On!,今日からマ王！,78,Light novel,PG-13 - Teens 13 or older,Spring 2004,TV,Studio Deen,7.68,32337 ,Ranked #1106,Popularity #1586,96852,https://myanimelist.net/anime/251/Kyou_kara_Maou,Shoujo
Anonymous Noise,覆面系ノイズ,12,Manga,PG-13 - Teens 13 or older,Spring 2017,TV,Brain's Base,6.99,37453 ,Ranked #3749,Popularity #1588,97391,https://myanimelist.net/anime/33203/Fukumenkei_Noise,Shoujo
Searching for the Full Moon,満月をさがして,52,Manga,PG-13 - Teens 13 or older,Spring 2002,TV,Studio Deen,7.95,39931 ,Ranked #613,Popularity #1607,95046,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite,Shoujo
Sailor Moon Sailor Stars,美少女戦士セーラームーン セーラースターズ,34,Manga,PG-13 - Teens 13 or older,Spring 1996,TV,Toei Animation,7.92,46820 ,Ranked #664,Popularity #1627,93198,https://myanimelist.net/anime/996/Bishoujo_Senshi_Sailor_Moon__Sailor_Stars,Shoujo
7 Seeds,7SEEDS,12,Manga,R+ - Mild Nudity,-,ONA,Gonzo,6.56,42500 ,Ranked #5712,Popularity #1630,94022,https://myanimelist.net/anime/38735/7_Seeds,Shoujo
-,愛してるぜ ベイベ★★,26,Manga,PG-13 - Teens 13 or older,Spring 2004,TV,TMS Entertainment,7.47,47485 ,Ranked #1686,Popularity #1637,92746,https://myanimelist.net/anime/102/Aishiteruze_Baby★★,Shoujo
First Love Monster,初恋モンスター,12,Manga,PG-13 - Teens 13 or older,Summer 2016,TV,Studio Deen,5.56,29339 ,Ranked #9949,Popularity #1640,93267,https://myanimelist.net/anime/31109/Hatsukoi_Monster,Shoujo
Shugo Chara!! Doki,しゅごキャラ！！どきっ,51,Manga,PG - Children,Fall 2008,TV,Satelight,7.42,47773 ,Ranked #1863,Popularity #1646,92121,https://myanimelist.net/anime/5262/Shugo_Chara_Doki,Shoujo
-,となりの怪物くん,1,Manga,PG-13 - Teens 13 or older,-,OVA,Brain's Base,7.13,44482 ,Ranked #3179,Popularity #1668,90138,https://myanimelist.net/anime/16866/Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun,Shoujo
La corda d'oro: primo passo,金色のコルダ ～primo passo～,25,Visual novel,PG-13 - Teens 13 or older,Fall 2006,TV,Yumeta Company,7.45,44122 ,Ranked #1769,Popularity #1675,89357,https://myanimelist.net/anime/1579/Kiniro_no_Corda__Primo_Passo,Shoujo
The Betrayal Knows My Name,裏切りは僕の名前を知っている,24,Manga,R - 17+ (violence & profanity),Spring 2010,TV,J.C.Staff,7.24,31773 ,Ranked #2652,Popularity #1705,87059,https://myanimelist.net/anime/7058/Uragiri_wa_Boku_no_Namae_wo_Shitteiru,Shoujo
Cardcaptor Sakura The Movie,劇場版 カードキャプターさくら,1,Manga,PG - Children,-,Movie,Madhouse,7.64,51422 ,Ranked #1195,Popularity #1712,86715,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1,Shoujo
Gakuen Alice,学園アリス,26,Manga,G - All Ages,Fall 2004,TV,Group TAC,7.64,44092 ,Ranked #1204,Popularity #1722,86184,https://myanimelist.net/anime/74/Gakuen_Alice,Shoujo
Peach Girl: Super Pop Love Hurricane,ピーチガール,25,Manga,PG-13 - Teens 13 or older,Winter 2005,TV,Studio Comet,6.98,42338 ,Ranked #3773,Popularity #1728,85835,https://myanimelist.net/anime/325/Peach_Girl,Shoujo
-,ひよ恋,1,Manga,PG-13 - Teens 13 or older,-,Special,Production I.G,7.31,44549 ,Ranked #2319,Popularity #1732,85612,https://myanimelist.net/anime/8768/Hiyokoi,Shoujo
-,会長はメイド様! ご主人様と遊んじゃお♥,1,Manga,PG-13 - Teens 13 or older,-,Special,J.C.Staff,7.36,40672 ,Ranked #2123,Popularity #1784,81660,https://myanimelist.net/anime/10298/Kaichou_wa_Maid-sama__Goshujinsama_to_Asonjao♥,Shoujo
The Rose of Versailles,ベルサイユのばら,40,Manga,PG-13 - Teens 13 or older,Fall 1979,TV,Tokyo Movie Shinsha,8.34,21879 ,Ranked #191,Popularity #1894,74477,https://myanimelist.net/anime/338/Versailles_no_Bara,Shoujo
Kaleido Star,カレイドスター,51,Original,PG-13 - Teens 13 or older,Spring 2003,TV,Gonzo,7.93,29304 ,Ranked #640,Popularity #1911,72824,https://myanimelist.net/anime/427/Kaleido_Star,Shoujo
X,X−エックス−,24,Manga,R+ - Mild Nudity,Fall 2001,TV,Madhouse,7.42,31140 ,Ranked #1868,Popularity #1915,72386,https://myanimelist.net/anime/156/X,Shoujo
Shonen Maid,少年メイド,12,Manga,PG-13 - Teens 13 or older,Spring 2016,TV,8bit,7.29,28925 ,Ranked #2427,Popularity #1960,69679,https://myanimelist.net/anime/32175/Shounen_Maid,Shoujo
Kase-san and Morning Glories,あさがおと加瀬さん。,1,Manga,PG-13 - Teens 13 or older,-,OVA,Zexcs,7.72,28228 ,Ranked #995,Popularity #1992,69039,https://myanimelist.net/anime/36214/Asagao_to_Kase-san,Shoujo
-,夢色パティシエール,50,Manga,G - All Ages,Fall 2009,TV,"Studio Pierrot,             Studio Hibari",7.85,32013 ,Ranked #767,Popularity #1994,67998,https://myanimelist.net/anime/6586/Yume-iro_Pâtissière,Shoujo
-,夏目友人帳 新作OVA いつかゆきのひに,1,Manga,PG-13 - Teens 13 or older,-,OVA,Brain's Base,8.35,29747 ,Ranked #186,Popularity #2019,66882,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni,Shoujo
Mermaid Melody: Pichi Pichi Pitch,マーメイドメロディー ぴちぴちピッチ,52,Manga,PG - Children,Spring 2003,TV,"Actas,             SynergySP",7.06,32355 ,Ranked #3488,Popularity #2060,65011,https://myanimelist.net/anime/521/Mermaid_Melody_Pichi_Pichi_Pitch,Shoujo
Jyu-Oh-Sei: Planet of the Beast King,獣王星,11,Manga,R - 17+ (violence & profanity),Spring 2006,TV,Bones,7.24,29290 ,Ranked #2666,Popularity #2061,64887,https://myanimelist.net/anime/953/Juu_Ou_Sei,Shoujo
-,しゅごキャラ！パーティー！,25,Manga,PG - Children,Fall 2009,TV,Satelight,6.62,30575 ,Ranked #5394,Popularity #2064,64790,https://myanimelist.net/anime/7082/Shugo_Chara_Party,Shoujo
Kenka Bancho Otome -Girl Beats Boys-,喧嘩番長 乙女 -GIRL BEATS BOYS-,12,Visual novel,PG-13 - Teens 13 or older,Spring 2017,TV,"Project No.9,             A-Real",6.43,28105 ,Ranked #6403,Popularity #2085,64428,https://myanimelist.net/anime/34501/Kenka_Banchou_Otome__Girl_Beats_Boys,Shoujo
-,赤髪の白雪姫 ～なんでもない宝物、この頁～,1,Manga,PG-13 - Teens 13 or older,-,OVA,Bones,7.71,30863 ,Ranked #1004,Popularity #2099,63667,https://myanimelist.net/anime/31483/Akagami_no_Shirayuki-hime__Nandemonai_Takaramono_Kono_Page,Shoujo
Kimi ni Todoke - From Me To You Season 2 – A Crush,君に届け 2ND SEASON 片想い,1,Unknown,PG-13 - Teens 13 or older,-,Special,Production I.G,7.20,30770 ,Ranked #2855,Popularity #2159,61225,https://myanimelist.net/anime/10152/Kimi_ni_Todoke_2nd_Season__Kataomoi,Shoujo
-,花咲ける青少年,39,Manga,PG-13 - Teens 13 or older,Spring 2009,TV,Studio Pierrot,7.73,21482 ,Ranked #977,Popularity #2171,60562,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen,Shoujo
The Highschool Life of a Fudanshi,腐男子高校生活,12,4-koma manga,PG-13 - Teens 13 or older,Summer 2016,TV,EMT Squared,6.54,29734 ,Ranked #5826,Popularity #2172,60754,https://myanimelist.net/anime/33222/Fudanshi_Koukou_Seikatsu,Shoujo
Escaflowne: A Girl in Gaea,エスカフローネ,1,Original,PG-13 - Teens 13 or older,-,Movie,"Bones,             Sunrise",7.07,28265 ,Ranked #3393,Popularity #2177,60127,https://myanimelist.net/anime/393/Escaflowne,Shoujo
Princess Princess,プリンセス・プリンセス,12,Manga,PG-13 - Teens 13 or older,Spring 2006,TV,Studio Deen,7.00,25999 ,Ranked #3718,Popularity #2226,57551,https://myanimelist.net/anime/907/Princess_Princess,Shoujo
Maria Watches Over Us,マリア様がみてる,13,Light novel,PG-13 - Teens 13 or older,Winter 2004,TV,Studio Deen,7.33,17835 ,Ranked #2241,Popularity #2257,56348,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru,Shoujo
Hakkenden -Eight Dogs of the East- Season 2,八犬伝 -東方八犬異聞- 2,13,Manga,PG-13 - Teens 13 or older,Summer 2013,TV,Studio Deen,7.64,26053 ,Ranked #1205,Popularity #2264,56158,https://myanimelist.net/anime/18055/Hakkenden__Touhou_Hakken_Ibun_2nd_Season,Shoujo
Magic Knight Rayearth,魔法騎士（マジックナイト）レイアース,20,Manga,PG-13 - Teens 13 or older,Fall 1994,TV,Tokyo Movie Shinsha,7.46,23664 ,Ranked #1753,Popularity #2267,56108,https://myanimelist.net/anime/435/Magic_Knight_Rayearth,Shoujo
Prétear: The New Legend of Snow White,新白雪姫伝説プリーティア,13,Manga,PG-13 - Teens 13 or older,Spring 2001,TV,Hal Film Maker,7.18,25407 ,Ranked #2909,Popularity #2277,55699,https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Prétear,Shoujo
"Ceres, Celestial Legend",妖しのセレス,24,Manga,R - 17+ (violence & profanity),Spring 2000,TV,Studio Pierrot,7.22,24208 ,Ranked #2736,Popularity #2294,55039,https://myanimelist.net/anime/104/Ayashi_no_Ceres,Shoujo
Sailor Moon R: The Movie - The Promise of the Rose,美少女戦士セーラームーンＲ THE MOVIE,1,Manga,PG-13 - Teens 13 or older,-,Movie,Toei Animation,7.70,30809 ,Ranked #1047,Popularity #2295,55055,https://myanimelist.net/anime/531/Bishoujo_Senshi_Sailor_Moon_R__The_Movie,Shoujo
-,好きっていいなよ。「誰かが」,1,Manga,PG-13 - Teens 13 or older,-,OVA,Zexcs,7.26,27108 ,Ranked #2553,Popularity #2326,53859,https://myanimelist.net/anime/16868/Sukitte_Ii_na_yo__Dareka_ga,Shoujo
Amatsuki,あまつき,13,Manga,PG-13 - Teens 13 or older,Spring 2008,TV,Studio Deen,6.91,23722 ,Ranked #4047,Popularity #2327,53821,https://myanimelist.net/anime/3359/Amatsuki,Shoujo
Kodocha,こどものおもちゃ,102,Manga,PG-13 - Teens 13 or older,Spring 1996,TV,Gallop,8.04,20155 ,Ranked #504,Popularity #2330,53748,https://myanimelist.net/anime/1486/Kodomo_no_Omocha_TV,Shoujo
Midnight Occult Civil Servants,真夜中のオカルト公務員,12,Manga,PG-13 - Teens 13 or older,Spring 2019,TV,LIDENFILMS,6.71,18692 ,Ranked #4957,Popularity #2339,53399,https://myanimelist.net/anime/37964/Mayonaka_no_Occult_Koumuin,Shoujo
Uta no Prince Sama Revolutions,うたの☆プリンスさまっ♪マジLOVEレボリューションズ,13,Visual novel,PG-13 - Teens 13 or older,Spring 2015,TV,A-1 Pictures,7.03,21201 ,Ranked #3636,Popularity #2363,52264,https://myanimelist.net/anime/21439/Uta_no☆Prince-sama♪__Maji_Love_Revolutions,Shoujo
Hana Yori Dango,花より男子,51,Manga,PG-13 - Teens 13 or older,Fall 1996,TV,Toei Animation,7.68,20148 ,Ranked #1101,Popularity #2379,51700,https://myanimelist.net/anime/106/Hana_yori_Dango,Shoujo
Natsume Yujin-cho the Movie: Ephemeral Bond,劇場版 夏目友人帳 ～うつせみに結ぶ～,1,Manga,PG-13 - Teens 13 or older,-,Movie,Shuka,8.42,16397 ,Ranked #145,Popularity #2400,51237,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,Shoujo
Bonjour♪Sweet Love Patisserie,Bonjour♪恋味パティスリー,24,Game,PG-13 - Teens 13 or older,-,ONA,"SILVER LINK.,             Connect",6.12,22997 ,Ranked #7936,Popularity #2411,50779,https://myanimelist.net/anime/25839/Bonjour♪Koiaji_Pâtisserie,Shoujo
Shonen Onmyoji,少年陰陽師,26,Light novel,PG-13 - Teens 13 or older,Fall 2006,TV,Studio Deen,7.57,17430 ,Ranked #1398,Popularity #2422,50204,https://myanimelist.net/anime/1557/Shounen_Onmyouji,Shoujo
Descendants of Darkness,闇の末裔,13,Manga,R - 17+ (violence & profanity),Fall 2000,TV,J.C.Staff,7.05,21665 ,Ranked #3539,Popularity #2435,49513,https://myanimelist.net/anime/553/Yami_no_Matsuei,Shoujo
-,スタ☆スカ,26,Visual novel,PG-13 - Teens 13 or older,-,ONA,Studio Deen,6.12,14291 ,Ranked #7923,Popularity #2450,48971,https://myanimelist.net/anime/7705/Starry☆Sky,Shoujo
-,神風怪盗ジャンヌ,44,Manga,PG-13 - Teens 13 or older,Winter 1999,TV,Toei Animation,7.45,24236 ,Ranked #1766,Popularity #2467,48370,https://myanimelist.net/anime/142/Kamikaze_Kaitou_Jeanne,Shoujo
Hiiro no Kakera: The Tamayori Princess Saga Season 2,緋色の欠片 第二章,13,Visual novel,PG-13 - Teens 13 or older,Fall 2012,TV,Studio Deen,7.20,21937 ,Ranked #2849,Popularity #2504,46887,https://myanimelist.net/anime/14645/Hiiro_no_Kakera_Dai_Ni_Shou,Shoujo
Sailor Moon S Movie: Hearts in Ice,美少女戦士セーラームーンS かぐや姫の恋人,1,Manga,PG-13 - Teens 13 or older,-,Movie,"Toei Animation,             Production Reed",7.68,25048 ,Ranked #1096,Popularity #2511,46567,https://myanimelist.net/anime/997/Bishoujo_Senshi_Sailor_Moon_S__Kaguya-hime_no_Koibito,Shoujo
-,神様はじめました「神様、幸せになる」,1,Manga,PG-13 - Teens 13 or older,-,OVA,TMS Entertainment,8.10,22454 ,Ranked #424,Popularity #2516,46813,https://myanimelist.net/anime/33323/Kamisama_Hajimemashita__Kamisama_Shiawase_ni_Naru,Shoujo
"Say ""I Love You"".: Mei and Marshmallow Meow",好きっていいなよ。,10,Manga,PG-13 - Teens 13 or older,-,Special,Zexcs,6.79,19466 ,Ranked #4590,Popularity #2523,46094,https://myanimelist.net/anime/17409/Sukitte_Ii_na_yo__Mei_and_Marshmallow,Shoujo
Pretty Guardian Sailor Moon Crystal Season III,美少女戦士セーラームーンCrystal　第３期＜デス・バスターズ編＞,13,Manga,PG-13 - Teens 13 or older,Spring 2016,TV,Toei Animation,7.73,20939 ,Ranked #973,Popularity #2532,46198,https://myanimelist.net/anime/31733/Bishoujo_Senshi_Sailor_Moon_Crystal_Season_III,Shoujo
-,かみちゃまかりん,26,Manga,PG-13 - Teens 13 or older,Spring 2007,TV,Satelight,7.24,18652 ,Ranked #2668,Popularity #2539,45759,https://myanimelist.net/anime/1808/Kamichama_Karin,Shoujo
-,オオカミ少女と黒王子「疑心暗鬼 -Happening kiss-」,1,Manga,PG-13 - Teens 13 or older,-,OVA,TYO Animations,7.26,21806 ,Ranked #2544,Popularity #2542,45999,https://myanimelist.net/anime/28299/Ookami_Shoujo_to_Kuro_Ouji__Gishinanki_–_Happening_Kiss,Shoujo
Marmalade Boy,ママレード・ボーイ,76,Manga,PG-13 - Teens 13 or older,Spring 1994,TV,Toei Animation,7.48,16967 ,Ranked #1685,Popularity #2548,45510,https://myanimelist.net/anime/334/Marmalade_Boy,Shoujo
Sukisho,好きなものは好きだからしょうがない！！,12,Visual novel,PG-13 - Teens 13 or older,Winter 2005,TV,Zexcs,6.69,20978 ,Ranked #5073,Popularity #2559,45030,https://myanimelist.net/anime/1532/Suki_na_Mono_wa_Suki_Dakara_Shou_ga_Nai,Shoujo
Angel Sanctuary,天使禁猟区,3,Manga,R+ - Mild Nudity,-,OVA,Hal Film Maker,6.30,25329 ,Ranked #7043,Popularity #2561,44911,https://myanimelist.net/anime/51/Tenshi_Kinryouku,Shoujo
"Love Me, Love Me Not",思い、思われ、ふり、ふられ,1,Manga,PG-13 - Teens 13 or older,-,Movie,A-1 Pictures,7.35,7780 ,Ranked #2150,Popularity #2642,43250,https://myanimelist.net/anime/39753/Omoi_Omoware_Furi_Furare,Shoujo
Revolutionary Girl Utena: The Adolescence of Utena,少女革命ウテナ　アドゥレセンス黙示録,1,Original,R+ - Mild Nudity,-,Movie,J.C.Staff,7.60,21256 ,Ranked #1282,Popularity #2671,41359,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku,Shoujo
-,7SEEDS,12,Manga,R+ - Mild Nudity,-,ONA,"Gonzo,             Studio Kai",7.11,22415 ,Ranked #3222,Popularity #2683,41631,https://myanimelist.net/anime/40602/7_Seeds_2nd_Season,Shoujo
-,君に届け ミニトド劇場,3,Manga,PG-13 - Teens 13 or older,-,Special,Production I.G,7.32,16539 ,Ranked #2297,Popularity #2691,40764,https://myanimelist.net/anime/10536/Kimi_ni_Todoke_2nd_Season__Minitodo_Gekijou,Shoujo
-,B-PROJECT～鼓動＊アンビシャス～,12,Music,PG-13 - Teens 13 or older,Summer 2016,TV,A-1 Pictures,6.61,13375 ,Ranked #5439,Popularity #2724,39946,https://myanimelist.net/anime/33046/B-Project__KodouAmbitious,Shoujo
-,僕は妹に恋をする,1,Manga,R+ - Mild Nudity,-,OVA,Vega Entertainment,6.28,22029 ,Ranked #7147,Popularity #2762,38776,https://myanimelist.net/anime/819/Boku_wa_Imouto_ni_Koi_wo_Suru,Shoujo
-,明治東亰恋伽,12,Visual novel,PG-13 - Teens 13 or older,Winter 2019,TV,TMS Entertainment,6.97,13444 ,Ranked #3829,Popularity #2801,38340,https://myanimelist.net/anime/34209/Meiji_Tokyo_Renka,Shoujo
Pretty Cure,ふたりはプリキュア,49,Original,G - All Ages,Winter 2004,TV,Toei Animation,7.01,13794 ,Ranked #3687,Popularity #2802,37897,https://myanimelist.net/anime/603/Futari_wa_Precure,Shoujo
-,ヴァンパイア騎士 激愛の肖像～ポートレート～,1,Manga,PG-13 - Teens 13 or older,-,Special,Studio Deen,6.79,15213 ,Ranked #4593,Popularity #2831,37065,https://myanimelist.net/anime/8422/Vampire_Knight__Gekiai_no_Portrait,Shoujo
-,マーメイドメロディーぴちぴちピッチピュア,39,Manga,PG - Children,Spring 2004,TV,"Actas,             SynergySP",7.10,18885 ,Ranked #3307,Popularity #2849,36774,https://myanimelist.net/anime/1110/Mermaid_Melody_Pichi_Pichi_Pitch_Pure,Shoujo
-,夢色パティシエールSP（スペシャル）プロフェッショナル,13,Manga,G - All Ages,Fall 2010,TV,Studio Pierrot,7.59,19992 ,Ranked #1351,Popularity #2884,35792,https://myanimelist.net/anime/9441/Yume-iro_Pâtissière_SP_Professional,Shoujo
Sailor Moon SuperS the Movie: Black Dream Hole,美少女戦士 セーラームーン SuperS セーラー9戦士集結! ブラック・ドリーム・ホールの奇跡,1,Manga,PG-13 - Teens 13 or older,-,Movie,"Toei Animation,             Production Reed",7.54,19154 ,Ranked #1478,Popularity #2886,35750,https://myanimelist.net/anime/1240/Bishoujo_Senshi_Sailor_Moon_SuperS__Sailor_9_Senshi_Shuuketsu_Black_Dream_Hole_no_Kiseki,Shoujo
-,アイカツ！アイドルカツドウ！,178,Original,PG - Children,Fall 2012,TV,"Sunrise,             Bandai Namco Pictures",7.39,8630 ,Ranked #1973,Popularity #2906,35268,https://myanimelist.net/anime/15061/Aikatsu,Shoujo
-,夏目友人帳 陸 特別編,2,Manga,PG-13 - Teens 13 or older,-,Special,Shuka,8.40,14972 ,Ranked #160,Popularity #2908,35458,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials,Shoujo
-,夏目友人帳 伍 特別編,2,Manga,PG-13 - Teens 13 or older,-,Special,Shuka,8.33,15486 ,Ranked #205,Popularity #2910,35424,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials,Shoujo
Uta no Prince Sama Legend Star,うたの☆プリンスさまっ♪マジLOVE レジェンドスター,13,Visual novel,PG-13 - Teens 13 or older,Fall 2016,TV,A-1 Pictures,7.17,11858 ,Ranked #2983,Popularity #2916,35302,https://myanimelist.net/anime/31178/Uta_no☆Prince-sama♪__Maji_Love_Legend_Star,Shoujo
-,カードキャプターさくら クリアカード編 プロローグ さくらとふたつのくま,1,Manga,G - All Ages,-,OVA,Madhouse,7.79,16061 ,Ranked #858,Popularity #2929,35025,https://myanimelist.net/anime/35320/Cardcaptor_Sakura__Clear_Card-hen_Prologue_-_Sakura_to_Futatsu_no_Kuma,Shoujo
-,ネオアンジェリーク Abyss,13,Visual novel,PG-13 - Teens 13 or older,Spring 2008,TV,Yumeta Company,6.83,13099 ,Ranked #4408,Popularity #2962,34198,https://myanimelist.net/anime/3615/Neo_Angelique_Abyss,Shoujo
Vampire Princess Miyu,吸血姫美夕,26,Manga,R - 17+ (violence & profanity),Fall 1997,TV,AIC,7.14,9740 ,Ranked #3135,Popularity #2995,33326,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV,Shoujo
Antique Bakery,西洋骨董洋菓子店 ~アンティーク~,12,Manga,PG-13 - Teens 13 or older,Summer 2008,TV,"Nippon Animation,             SynergySP,             Shirogumi",7.04,13258 ,Ranked #3550,Popularity #2999,33272,https://myanimelist.net/anime/4021/Seiyou_Kottou_Yougashiten__Antique,Shoujo
Sugar Sugar Rune,シュガシュガルーン,51,Manga,PG - Children,Summer 2005,TV,Studio Pierrot,7.45,13337 ,Ranked #1781,Popularity #3018,32992,https://myanimelist.net/anime/1642/Sugar_Sugar_Rune,Shoujo
"Brother, Dear Brother",おにいさまへ…,39,Manga,PG-13 - Teens 13 or older,Summer 1991,TV,Tezuka Productions,7.80,6932 ,Ranked #840,Popularity #3024,32918,https://myanimelist.net/anime/795/Oniisama_e,Shoujo
Glass Mask,ガラスの仮面 (2005),51,Manga,G - All Ages,Spring 2005,TV,Tokyo Movie Shinsha,8.07,10089 ,Ranked #457,Popularity #3031,32803,https://myanimelist.net/anime/1974/Glass_no_Kamen_2005,Shoujo
-,DIABOLIK LOVERS OAD,1,Visual novel,PG-13 - Teens 13 or older,-,OVA,"Production I.G,             Zexcs",5.76,14947 ,Ranked #9329,Popularity #3050,32652,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA,Shoujo
Glitter Force,スマイルプリキュア,48,Original,G - All Ages,Winter 2012,TV,Toei Animation,6.70,13948 ,Ranked #4989,Popularity #3089,31705,https://myanimelist.net/anime/12191/Smile_Precure,Shoujo
-,金色のコルダ セコンド・パッソ,2,Visual novel,PG-13 - Teens 13 or older,-,Special,Yumeta Company,7.13,17143 ,Ranked #3160,Popularity #3102,31389,https://myanimelist.net/anime/5717/Kiniro_no_Corda__Secondo_Passo,Shoujo
Today We Start Our Love,今日、恋をはじめます,2,Manga,PG-13 - Teens 13 or older,-,OVA,J.C.Staff,6.47,14918 ,Ranked #6184,Popularity #3144,30541,https://myanimelist.net/anime/8560/Kyou_Koi_wo_Hajimemasu,Shoujo
-,今日からマ王！第3シリーズ,39,Light novel,PG-13 - Teens 13 or older,Spring 2008,TV,Studio Deen,7.79,11462 ,Ranked #866,Popularity #3183,29696,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series,Shoujo
-,AMNESIA,1,Visual novel,PG-13 - Teens 13 or older,-,OVA,Brain's Base,6.36,14266 ,Ranked #6738,Popularity #3195,29546,https://myanimelist.net/anime/20655/Amnesia_OVA,Shoujo
-,グラビテーション,2,Manga,R - 17+ (violence & profanity),-,OVA,Plum,6.94,16867 ,Ranked #3954,Popularity #3196,29554,https://myanimelist.net/anime/507/Gravitation__Lyrics_of_Love,Shoujo
-,夏目友人帳新作アニメDVD,1,Manga,PG-13 - Teens 13 or older,-,Special,Brain's Base,7.66,14406 ,Ranked #1135,Popularity #3213,29237,https://myanimelist.net/anime/18849/Natsume_Yuujinchou__Nyanko-sensei_to_Hajimete_no_Otsukai,Shoujo
-,12歳。～ちっちゃなムネのトキメキ～,12,Manga,PG - Children,Spring 2016,TV,OLM,6.41,12776 ,Ranked #6493,Popularity #3234,29039,https://myanimelist.net/anime/32601/12-sai__Chicchana_Mune_no_Tokimeki,Shoujo
Ultramaniac - Magical Girl,ウルトラマニアック,26,Manga,G - All Ages,Spring 2003,TV,Production Reed,7.17,11705 ,Ranked #2982,Popularity #3241,28887,https://myanimelist.net/anime/178/Ultra_Maniac,Shoujo
-,劇場版ハートの国のアリス～Wonderful Wonder World～,1,Visual novel,PG-13 - Teens 13 or older,-,Movie,Asahi Production,6.06,9776 ,Ranked #8238,Popularity #3250,28821,https://myanimelist.net/anime/4713/Heart_no_Kuni_no_Alice__Wonderful_Wonder_World,Shoujo
-,ケロちゃんにおまかせ！,1,Manga,G - All Ages,-,Movie,Madhouse,7.33,14739 ,Ranked #2222,Popularity #3257,28631,https://myanimelist.net/anime/1078/Cardcaptor_Sakura__Kero-chan_ni_Omakase,Shoujo
Magic Knight Rayearth II,魔法騎士（マジックナイト）レイアース II,29,Manga,PG-13 - Teens 13 or older,Spring 1995,TV,TMS Entertainment,7.52,14256 ,Ranked #1567,Popularity #3288,28088,https://myanimelist.net/anime/1563/Magic_Knight_Rayearth_II,Shoujo
Powerpuff Girls Z,出ましたっ！パワパフガールズZ,52,Other,PG - Children,Summer 2006,TV,Toei Animation,6.37,10108 ,Ranked #6681,Popularity #3325,27625,https://myanimelist.net/anime/1221/Demashita_Powerpuff_Girls_Z,Shoujo
Samurai Jam -Bakumatsu Rock-,幕末Rock,12,Game,PG-13 - Teens 13 or older,Summer 2014,TV,Studio Deen,6.05,8669 ,Ranked #8257,Popularity #3368,26852,https://myanimelist.net/anime/23037/Bakumatsu_Rock,Shoujo
Kirarin Revolution,きらりん☆レボリューション,153,Manga,PG-13 - Teens 13 or older,Spring 2006,TV,SynergySP,7.05,9408 ,Ranked #3508,Popularity #3389,26573,https://myanimelist.net/anime/1516/Kirarin☆Revolution,Shoujo
Tomorrow's Nadja,明日のナージャ,50,Original,G - All Ages,Winter 2003,TV,Toei Animation,7.59,8836 ,Ranked #1315,Popularity #3418,26105,https://myanimelist.net/anime/1946/Ashita_no_Nadja,Shoujo
-,すてきですわ、さくらちゃん!　知世のカードキャプターさくら活躍ビデオ日記!,3,Manga,G - All Ages,-,Special,Madhouse,7.48,12633 ,Ranked #1666,Popularity #3438,25833,https://myanimelist.net/anime/2424/Suteki_Desu_wa_Sakura-chan_Tomoyo_no_Cardcaptor_Sakura_Katsuyaku_Video_Nikki,Shoujo
-,ハートキャッチプリキュア!,49,Original,G - All Ages,Winter 2010,TV,Toei Animation,7.79,8651 ,Ranked #862,Popularity #3456,25554,https://myanimelist.net/anime/7645/Heartcatch_Precure,Shoujo
-,ひよ恋,3,Manga,G - All Ages,-,ONA,Production I.G,6.72,10545 ,Ranked #4921,Popularity #3466,25405,https://myanimelist.net/anime/15895/Hiyokoi_2012,Shoujo
