Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
The World YAMIZUKAN,世界の闇図鑑,13,Original,PG - Children,Spring 2017,TV,ILCA,4.68,5986 ,Ranked #11385,Popularity #3868,20308,https://myanimelist.net/anime/35069/Sekai_no_Yami_Zukan,Horror
Yamishibai: Japanese Ghost Stories 5,闇芝居 5期,13,Original,PG-13 - Teens 13 or older,Summer 2017,TV,ILCA,6.30,9390 ,Ranked #7049,Popularity #3879,20309,https://myanimelist.net/anime/35714/Yami_Shibai_5,Horror
The Devil Lady,デビルマンレディー,26,Manga,R+ - Mild Nudity,Fall 1998,TV,TMS Entertainment,6.64,4680 ,Ranked #5309,Popularity #3898,19822,https://myanimelist.net/anime/1629/Devilman_Lady,Horror
Demon Prince Enma,鬼公子　炎魔,4,Manga,R+ - Mild Nudity,-,OVA,Brain's Base,7.12,6377 ,Ranked #3211,Popularity #4038,18277,https://myanimelist.net/anime/1556/Kikoushi_Enma,Horror
-,AMON デビルマン黙示録,1,Manga,R+ - Mild Nudity,-,OVA,Studio Live,6.46,9120 ,Ranked #6231,Popularity #4063,18073,https://myanimelist.net/anime/2356/Amon__Devilman_Mokushiroku,Horror
Vampire Princess Miyu,吸血姫美夕,4,Manga,PG-13 - Teens 13 or older,-,OVA,AIC,6.98,6949 ,Ranked #3802,Popularity #4083,17856,https://myanimelist.net/anime/1384/Kyuuketsuhime_Miyu,Horror
Aooni The Blue Monster,あおおに ～じ・あにめぇしょん～,13,Game,R - 17+ (violence & profanity),Fall 2016,TV,Studio Deen,5.12,8422 ,Ranked #10955,Popularity #4097,17792,https://myanimelist.net/anime/33814/Ao_Oni_The_Animation,Horror
Devilman: The Demon Bird,デビルマン 妖鳥シレーヌ編,1,Manga,R+ - Mild Nudity,-,OVA,Oh! Production,7.03,10020 ,Ranked #3601,Popularity #4098,17732,https://myanimelist.net/anime/2355/Devilman__Yochou_Sirene-hen,Horror
Nightwalker: The Midnight Detective,Night Walker -真夜中の探偵-,12,Visual novel,R+ - Mild Nudity,Summer 1998,TV,AIC,6.94,6180 ,Ranked #3928,Popularity #4160,17099,https://myanimelist.net/anime/621/Night_Walker__Mayonaka_no_Tantei,Horror
The Melody of Oblivion,忘却の旋律,24,Manga,PG-13 - Teens 13 or older,Spring 2004,TV,"Gainax,             J.C.Staff",6.34,5222 ,Ranked #6848,Popularity #4168,16994,https://myanimelist.net/anime/159/Boukyaku_no_Senritsu,Horror
Kagewani -II-,影鰐-KAGEWANI-承,13,Original,R - 17+ (violence & profanity),Spring 2016,TV,Tomovies,6.44,7065 ,Ranked #6373,Popularity #4193,16775,https://myanimelist.net/anime/32682/Kagewani__Shou,Horror
Resident Evil: Vendetta,バイオハザード ヴェンデッタ,1,Game,R - 17+ (violence & profanity),-,Movie,Marza Animation Planet,7.03,8789 ,Ranked #3594,Popularity #4227,17116,https://myanimelist.net/anime/31853/Biohazard__Vendetta,Horror
Demon City Shinjuku,魔界都市〈新宿〉,1,Novel,R - 17+ (violence & profanity),-,OVA,Madhouse,6.16,7314 ,Ranked #7785,Popularity #4230,16499,https://myanimelist.net/anime/499/Makai_Toshi_Shinjuku,Horror
