Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
Blue Seed Beyond,ブルーシード 2,3,Unknown,R - 17+ (violence & profanity),-,OVA,"Production I.G,             Xebec",6.46,2364 ,Ranked #6236,Popularity #6466,5695,https://myanimelist.net/anime/999/Blue_Seed_2,Horror
Chainsaw Maid,チェーンソー・メイド,1,Original,R - 17+ (violence & profanity),-,ONA,-,4.97,3646 ,Ranked #11154,Popularity #6530,5535,https://myanimelist.net/anime/11679/Chainsaw_Maid,Horror
Guyver: Out of Control,強殖装甲ガイバー,1,Unknown,R+ - Mild Nudity,-,Movie,Production Reed,6.25,2421 ,Ranked #7300,Popularity #6551,5494,https://myanimelist.net/anime/2293/Kyoushoku_Soukou_Guyver,Horror
The Curse of Kazuo Umezu,楳図かずおの呪い,1,Manga,R - 17+ (violence & profanity),-,OVA,-,6.14,2399 ,Ranked #7852,Popularity #6569,5458,https://myanimelist.net/anime/6276/Umezu_Kazuo_no_Noroi,Horror
-,都市伝説物語　ひきこ,1,Original,R - 17+ (violence & profanity),-,OVA,-,5.94,1584 ,Ranked #8717,Popularity #6916,4794,https://myanimelist.net/anime/6809/Toshi_Densetsu_Monogatari_Hikiko,Horror
Muramasa,村正,1,Original,PG-13 - Teens 13 or older,-,Movie,-,6.20,2232 ,Ranked #7524,Popularity #6959,4724,https://myanimelist.net/anime/3475/Muramasa,Horror
-,コクハク,1,Original,R - 17+ (violence & profanity),-,ONA,-,2.30,3442 ,Ranked #11629,Popularity #6990,4750,https://myanimelist.net/anime/31634/Kokuhaku,Horror
-,sin THE MOVIE,1,Game,R - 17+ (violence & profanity),-,OVA,Phoenix Entertainment,5.15,2389 ,Ranked #10899,Popularity #7019,4635,https://myanimelist.net/anime/2262/Sin__The_Movie,Horror
-,駕籠真太郎アニメ作品集,15,Original,R+ - Mild Nudity,-,OVA,-,4.94,1375 ,Ranked #11187,Popularity #7097,4508,https://myanimelist.net/anime/10003/Kago_Shintarou_Anime_Sakuhin_Shuu,Horror
-,ゲゲゲの鬼太郎 (2007),100,Manga,G - All Ages,Spring 2007,TV,Toei Animation,6.90,926 ,Ranked #4114,Popularity #7131,4461,https://myanimelist.net/anime/2165/Gegege_no_Kitarou_2007,Horror
-,プッシーキャット,1,Original,R - 17+ (violence & profanity),-,ONA,-,4.17,2995 ,Ranked #11547,Popularity #7155,4436,https://myanimelist.net/anime/11687/Pussycat,Horror
Bride of Deimos,悪魔の花嫁 蘭の組曲,1,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,5.68,1689 ,Ranked #9579,Popularity #7195,4365,https://myanimelist.net/anime/5918/Deimos_no_Hanayome__Ran_no_Kumikyoku,Horror
-,カラダ探し,10,Manga,R - 17+ (violence & profanity),-,ONA,Studio Khronos,5.68,139 ,Ranked #9589,Popularity #7205,4371,https://myanimelist.net/anime/35480/Karadasagashi,Horror
-,注文の多い料理店,1,Book,G - All Ages,-,Movie,-,6.22,2031 ,Ranked #7459,Popularity #7207,4354,https://myanimelist.net/anime/4095/Chuumon_no_Ooi_Ryouriten_1991,Horror
Psycho Diver: Soul Siren,サイコダイバー 魔性菩薩,1,Unknown,R+ - Mild Nudity,-,OVA,Madhouse,5.69,1541 ,Ranked #9559,Popularity #7249,4310,https://myanimelist.net/anime/1767/Psycho_Diver__Mashou_Bosatsu,Horror
The House Spirit Tatami-chan,ざしきわらしのタタミちゃん,12,Original,PG-13 - Teens 13 or older,-,ONA,Zero-G,5.21,1650 ,Ranked #10807,Popularity #7284,4263,https://myanimelist.net/anime/41124/Zashiki_Warashi_no_Tatami-chan,Horror
-,闇芝居 九期,Unknown,Original,PG-13 - Teens 13 or older,Summer 2021,TV,"ILCA,             DRAWIZ",6.05,273 ,Ranked #8305,Popularity #7327,4177,https://myanimelist.net/anime/49110/Yami_Shibai_9,Horror
-,魔法少女サイト ダイジェストPV,2,Manga,R - 17+ (violence & profanity),-,Special,"Avex Pictures,             production doA",6.21,962 ,Ranked #7502,Popularity #7357,4168,https://myanimelist.net/anime/38104/Mahou_Shoujo_Site_Recaps,Horror
-,Malice@doll マリスドール,3,Original,R - 17+ (violence & profanity),-,OVA,-,5.90,1405 ,Ranked #8853,Popularity #7359,4134,https://myanimelist.net/anime/2261/MaliceDoll,Horror
Extra,EXTRA (エクストラ),1,Unknown,R - 17+ (violence & profanity),-,Music,Studio 4°C,5.95,2432 ,Ranked #8682,Popularity #7387,4076,https://myanimelist.net/anime/3525/Extra,Horror
Dawn of the World,末日曙光,20,Novel,R - 17+ (violence & profanity),-,ONA,Dawn Animation,6.13,249 ,Ranked #7899,Popularity #7407,4082,https://myanimelist.net/anime/37291/Mo_Ri_Shu_Guang,Horror
-,Airy Me,1,Music,PG-13 - Teens 13 or older,-,Music,-,6.31,2269 ,Ranked #6977,Popularity #7431,4018,https://myanimelist.net/anime/21861/Airy_Me,Horror
No Littering,NO LITTERING,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.55,2789 ,Ranked #11591,Popularity #7453,3985,https://myanimelist.net/anime/16610/No_Littering,Horror
-,細菌汚染 – Bacterial Contamination –,1,Music,PG-13 - Teens 13 or older,-,Music,-,5.97,2394 ,Ranked #8591,Popularity #7456,3977,https://myanimelist.net/anime/20855/Bacterial_Contamination,Horror
Resident Evil 4D Executor,BIOHAZARD 4D-EXECUTER,1,Game,R - 17+ (violence & profanity),-,Special,-,5.47,2091 ,Ranked #10177,Popularity #7474,3957,https://myanimelist.net/anime/5624/Biohazard_4D-Executer,Horror
Laughing Target,笑う標的,1,Manga,R - 17+ (violence & profanity),-,OVA,Studio Pierrot,6.21,1694 ,Ranked #7520,Popularity #7479,3951,https://myanimelist.net/anime/2018/Warau_Hyouteki,Horror
-,ダークキャット,1,Manga,R - 17+ (violence & profanity),-,OVA,Agent 21,3.31,1973 ,Ranked #11607,Popularity #7566,3820,https://myanimelist.net/anime/4531/Dark_Cat,Horror
Inyouchuu Shoku,淫妖蟲 蝕～凌触島退魔録～ 完全版,1,Visual novel,Rx - Hentai,-,OVA,-,6.07,1138 ,Ranked N/A,Popularity #7581,3791,https://myanimelist.net/anime/9287/Inyouchuu_Shoku__Ryoushokutou_Taimaroku_-_Kanzenban,Horror
Eight Clouds Rising,八雲立つ,2,Manga,PG-13 - Teens 13 or older,-,OVA,Studio Pierrot,6.10,1247 ,Ranked #8024,Popularity #7609,3755,https://myanimelist.net/anime/1026/Yakumotatsu,Horror
-,MAID OF THE DEAD,1,Original,R - 17+ (violence & profanity),-,ONA,-,4.09,2434 ,Ranked #11562,Popularity #7709,3594,https://myanimelist.net/anime/20811/Maid_of_the_Dead,Horror
-,血みどろデート,1,Original,R - 17+ (violence & profanity),-,ONA,-,4.17,2325 ,Ranked #11548,Popularity #7716,3582,https://myanimelist.net/anime/11691/Bloody_Date,Horror
-,ゲゲゲの鬼太郎,65,Manga,G - All Ages,Winter 1968,TV,Toei Animation,6.78,572 ,Ranked #4623,Popularity #7753,3527,https://myanimelist.net/anime/5688/Gegege_no_Kitarou_1968,Horror
The Thaw,ゆきどけ,1,Original,PG-13 - Teens 13 or older,-,Movie,-,3.95,1987 ,Ranked #11570,Popularity #7780,3530,https://myanimelist.net/anime/23057/Yukidoke,Horror
-,魍魎の贄,2,Visual novel,Rx - Hentai,-,OVA,-,6.18,1071 ,Ranked N/A,Popularity #7786,3483,https://myanimelist.net/anime/16091/Mouryou_no_Nie,Horror
-,THE UROTSUKI,3,Unknown,Rx - Hentai,-,OVA,Phoenix Entertainment,5.66,844 ,Ranked N/A,Popularity #7826,3437,https://myanimelist.net/anime/1353/The_Urotsuki,Horror
Perverse Investigations,性裁,2,Visual novel,Rx - Hentai,-,OVA,Y.O.U.C,5.34,1015 ,Ranked N/A,Popularity #7831,3423,https://myanimelist.net/anime/2944/Seisai,Horror
Gregory Horror Show,グレゴリーホラーショー,25,Original,PG-13 - Teens 13 or older,Fall 1999,TV,Milky Cartoon,6.56,1250 ,Ranked #5725,Popularity #7882,3362,https://myanimelist.net/anime/6069/Gregory_Horror_Show,Horror
-,ドロロンえん魔くん,25,Manga,PG-13 - Teens 13 or older,Fall 1973,TV,Toei Animation,6.26,506 ,Ranked #7257,Popularity #7897,3343,https://myanimelist.net/anime/1337/Dororon_Enma-kun,Horror
-,絶叫学級 転生,2,Manga,G - All Ages,-,Special,-,5.46,1286 ,Ranked #10218,Popularity #7921,3322,https://myanimelist.net/anime/33103/Zekkyou_Gakkyuu__Tensei,Horror
-,監獄実験〈プリズンラボ〉,20,Manga,R - 17+ (violence & profanity),-,ONA,-,5.45,151 ,Ranked #10254,Popularity #7934,3315,https://myanimelist.net/anime/38902/Prison_Lab,Horror
Urotsukidoji II: Legend of the Demon Womb (movie),超神伝説うろつき童子 魔胎伝,1,Unknown,Rx - Hentai,-,Movie,-,5.90,1489 ,Ranked N/A,Popularity #7981,3234,https://myanimelist.net/anime/2360/Choujin_Densetsu_Urotsukidouji_2,Horror
Urotsukidoji III: Return of the Overfiend,超神伝説うろつき童子 未来篇,4,Unknown,Rx - Hentai,-,OVA,-,5.71,1261 ,Ranked N/A,Popularity #8005,3195,https://myanimelist.net/anime/2343/Choujin_Densetsu_Urotsukidouji__Mirai-hen,Horror
Judge,闇の司法官ジャッジ,1,Manga,R - 17+ (violence & profanity),-,OVA,"J.C.Staff,             animate",5.35,1441 ,Ranked #10515,Popularity #8086,3084,https://myanimelist.net/anime/1340/Yami_no_Shihosha_Judge,Horror
Aragne: Sign of Vermillion,アラーニェの虫籠,1,Original,R - 17+ (violence & profanity),-,Movie,-,5.06,579 ,Ranked #11050,Popularity #8090,3111,https://myanimelist.net/anime/34974/Aragne_no_Mushikago,Horror
-,LOVE BITES,1,Original,R - 17+ (violence & profanity),-,ONA,-,2.60,2154 ,Ranked #11626,Popularity #8137,3071,https://myanimelist.net/anime/32894/Love_Bites,Horror
Ling Cage,灵笼: INCARNATION,6,Original,R - 17+ (violence & profanity),-,ONA,YHKT Entertainment,7.31,585 ,Ranked #2331,Popularity #8175,3032,https://myanimelist.net/anime/39675/Ling_Long__Incarnation,Horror
Alien from the Darkness,淫獣エイリアン,1,Original,Rx - Hentai,-,OVA,-,5.25,1200 ,Ranked N/A,Popularity #8198,2958,https://myanimelist.net/anime/2315/Injuu_Alien,Horror
Rei and Fuko,特務捜査官レイ & 風子,4,Visual novel,Rx - Hentai,-,OVA,-,6.19,893 ,Ranked N/A,Popularity #8216,2938,https://myanimelist.net/anime/3998/Tokumu_Sousakan_Rei___Fuko,Horror
-,H・P・ラヴクラフトのダニッチ・ホラー　その他の物語,1,Novel,PG-13 - Teens 13 or older,-,OVA,Toei Animation,6.05,690 ,Ranked #8267,Popularity #8222,2932,https://myanimelist.net/anime/3906/H_P_Lovecrafts_The_Dunwich_Horror_and_Other_Stories,Horror
-,ガレリアンズ：リオン,3,Unknown,R - 17+ (violence & profanity),-,OVA,-,5.47,1169 ,Ranked #10184,Popularity #8234,2915,https://myanimelist.net/anime/1611/Galerians__Rion,Horror
Pinky,PINKY（ピンキー）,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.36,1940 ,Ranked #11602,Popularity #8293,2841,https://myanimelist.net/anime/16604/Pinky,Horror
Square Of The Moon: The Night Is Coming!,夜が来る!,4,Visual novel,Rx - Hentai,-,OVA,Green Bunny,5.61,587 ,Ranked N/A,Popularity #8397,2728,https://myanimelist.net/anime/1702/Yoru_ga_Kuru,Horror
Hell Teacher Nube,地獄先生ぬ～べ～,3,Unknown,PG-13 - Teens 13 or older,-,OVA,-,7.11,911 ,Ranked #3245,Popularity #8439,2684,https://myanimelist.net/anime/2745/Jigoku_Sensei_Nube_OVA,Horror
Shuten Doji - The Star Hand Kid,手天童子,4,Manga,R+ - Mild Nudity,-,OVA,Studio Signal,5.73,802 ,Ranked #9442,Popularity #8440,2683,https://myanimelist.net/anime/1227/Shuten_Douji,Horror
-,血みどろの夜,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.88,1651 ,Ranked #11574,Popularity #8460,2667,https://myanimelist.net/anime/11869/Bloody_Night,Horror
Luv Wave,ラヴ ウェーブ,3,Visual novel,Rx - Hentai,-,OVA,-,5.89,886 ,Ranked N/A,Popularity #8509,2630,https://myanimelist.net/anime/3254/Luv_Wave,Horror
-,C.L.A.Y.,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.49,1740 ,Ranked #11596,Popularity #8536,2599,https://myanimelist.net/anime/16606/CLAY,Horror
Zombie Brother,尸兄,41,Web manga,R - 17+ (violence & profanity),-,ONA,L²Studio,6.63,612 ,Ranked #5373,Popularity #8549,2601,https://myanimelist.net/anime/30412/Shi_Xiong,Horror
Humanoid Monster Bem,妖怪人間ベム,26,Unknown,PG-13 - Teens 13 or older,Winter 2006,TV,Studio Comet,5.85,799 ,Ranked #9038,Popularity #8558,2577,https://myanimelist.net/anime/4823/Youkai_Ningen_Bem_2006,Horror
-,鬼点睛,4,Original,Rx - Hentai,-,OVA,-,6.14,820 ,Ranked N/A,Popularity #8566,2574,https://myanimelist.net/anime/3427/Oni-Tensei,Horror
Roots Search,ルーツ・サーチ 食心物体Ｘ,1,Original,R+ - Mild Nudity,-,OVA,-,4.19,1172 ,Ranked #11546,Popularity #8583,2556,https://myanimelist.net/anime/2250/Roots_Search__Shokushin_Buttai_X,Horror
Legend of the Wolf Woman,女狼狂濡,2,Original,Rx - Hentai,-,OVA,-,5.62,884 ,Ranked N/A,Popularity #8586,2555,https://myanimelist.net/anime/4350/Megami_Kyouju,Horror
Countdown Conjoined,誘惑 COUNT DOWN,6,Manga,Rx - Hentai,-,OVA,AIC,5.80,643 ,Ranked N/A,Popularity #8602,2546,https://myanimelist.net/anime/1383/Yuuwaku_Countdown,Horror
-,キマイラ,1,Novel,None,-,Movie,-,N/A,- user,Ranked N/A,Popularity #8660,2506,https://myanimelist.net/anime/37437/Chimera,Horror
Hyakki: The Secret of Devil's Island,百鬼,3,Visual novel,Rx - Hentai,-,OVA,Arms,5.56,689 ,Ranked N/A,Popularity #8675,2467,https://myanimelist.net/anime/1782/Hyakki,Horror
-,暗黒神話,2,Manga,R+ - Mild Nudity,-,OVA,Ajia-Do,4.20,882 ,Ranked #11544,Popularity #8723,2424,https://myanimelist.net/anime/1966/Ankoku_Shinwa,Horror
Mystery of the Necronomicon,黒の断章,4,Unknown,Rx - Hentai,-,OVA,-,5.73,816 ,Ranked N/A,Popularity #8775,2366,https://myanimelist.net/anime/220/Kuro_no_Danshou,Horror
-,魔龍戦紀,3,Original,R+ - Mild Nudity,-,OVA,AIC,5.19,627 ,Ranked #10837,Popularity #8800,2338,https://myanimelist.net/anime/6061/Maryuu_Senki,Horror
Urotsukidoji IV: Inferno Road,超神伝説うろつき童子 放浪篇[インフェルノ·ロード],3,Unknown,Rx - Hentai,-,OVA,-,5.41,849 ,Ranked N/A,Popularity #8806,2330,https://myanimelist.net/anime/2344/Choujin_Densetsu_Urotsukidouji__Inferno_Road,Horror
-,大魔獣激闘　鋼の鬼,1,Unknown,PG-13 - Teens 13 or older,-,OVA,-,5.26,884 ,Ranked #10687,Popularity #8820,2319,https://myanimelist.net/anime/1819/Daimajuu_Gekitou__Hagane_no_Oni,Horror
Hell Teacher Nube,地獄先生ぬ〜べ〜,1,Unknown,PG-13 - Teens 13 or older,-,Movie,Toei Animation,6.63,791 ,Ranked #5353,Popularity #8894,2253,https://myanimelist.net/anime/8208/Jigoku_Sensei_Nube_Movie,Horror
Twin Angels (1),淫獣聖戦 ツインエンジェル,4,Original,Rx - Hentai,-,OVA,Arms,5.62,651 ,Ranked N/A,Popularity #8904,2243,https://myanimelist.net/anime/3569/Injuu_Seisen__Twin_Angels,Horror
-,WITHIN THE BLOODY WOODS,2,Original,R - 17+ (violence & profanity),-,ONA,-,3.38,1440 ,Ranked #11600,Popularity #8910,2238,https://myanimelist.net/anime/11915/Within_the_Bloody_Woods,Horror
Angel Of Darkness,淫獣教師,4,Unknown,Rx - Hentai,-,OVA,-,5.48,727 ,Ranked N/A,Popularity #8927,2221,https://myanimelist.net/anime/3908/Injuu_Kyoushi,Horror
Spirit Warrior,孔雀王,3,Unknown,R+ - Mild Nudity,-,OVA,-,5.89,604 ,Ranked #8872,Popularity #8953,2198,https://myanimelist.net/anime/3595/Kujakuou,Horror
The Erotic Temptress,淫魔妖女,5,Unknown,Rx - Hentai,-,OVA,-,5.92,597 ,Ranked N/A,Popularity #9001,2153,https://myanimelist.net/anime/4084/Inma_Youjo,Horror
-,寄生虫の一夜,1,Original,R - 17+ (violence & profanity),-,Movie,-,5.12,1131 ,Ranked #10961,Popularity #9031,2122,https://myanimelist.net/anime/7025/Kiseichuu_no_Ichiya,Horror
How to Eat Life,いのちの食べ方,1,Music,R - 17+ (violence & profanity),-,Music,-,7.84,1417 ,Ranked #778,Popularity #9067,2144,https://myanimelist.net/anime/42076/Inochi_no_Tabekata,Horror
-,怪物王女,3,Unknown,R - 17+ (violence & profanity),-,Special,Tatsunoko Production,6.56,572 ,Ranked #5734,Popularity #9105,2072,https://myanimelist.net/anime/26063/Kaibutsu_Oujo_Specials,Horror
-,超神伝説うろつき童子 完結編,1,Unknown,Rx - Hentai,-,OVA,-,5.35,696 ,Ranked N/A,Popularity #9132,2047,https://myanimelist.net/anime/2345/Choujin_Densetsu_Urotsukidouji_5__Kanketsu-hen,Horror
Dead Girl Trailer,DEAD GIRL Trailer（デッド・ガール トレーラー）,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.51,1312 ,Ranked #11595,Popularity #9141,2035,https://myanimelist.net/anime/16602/Dead_Girl_Trailer,Horror
Bloody Code,血色苍穹,26,Web manga,R - 17+ (violence & profanity),-,ONA,CG Year,6.31,353 ,Ranked #7022,Popularity #9158,2032,https://myanimelist.net/anime/36762/Xue_Se_Cang_Qiong,Horror
Chainsaw Bunny,CHAINSAW BUNNY,1,Original,R+ - Mild Nudity,-,ONA,-,4.90,1216 ,Ranked #11218,Popularity #9161,2053,https://myanimelist.net/anime/38181/Chainsaw_Bunny,Horror
-,手塚治虫のドン・ドラキュラ,8,Manga,R+ - Mild Nudity,Spring 1982,TV,-,6.09,758 ,Ranked #8099,Popularity #9165,2016,https://myanimelist.net/anime/4853/Tezuka_Osamu_no_Don_Dracula,Horror
-,-,1,Visual novel,Rx - Hentai,-,Special,Studio Fantasia,5.88,600 ,Ranked N/A,Popularity #9179,2019,https://myanimelist.net/anime/31424/Inyouchuu_Etsu_Special,Horror
-,ワ・タ・シ・ノ・カ・オ,1,Original,PG-13 - Teens 13 or older,-,Movie,-,4.15,1119 ,Ranked #11553,Popularity #9182,2048,https://myanimelist.net/anime/28843/Watashi_no_Kao,Horror
Hell Teacher Nube: Summer Holiday of Fear! Legend of the Sea of Suspicion,地獄先生ぬ～べ～　恐怖の夏休み！！妖しの海の伝説！,1,Unknown,R - 17+ (violence & profanity),-,Movie,Toei Animation,6.70,661 ,Ranked #5014,Popularity #9206,1994,https://myanimelist.net/anime/5296/Jigoku_Sensei_Nube__Kyoufu_no_Natsuyasumi_Ayashi_no_Umi_no_Densetsu,Horror
Adventure Kid,妖獣戦線アドベンチャーKID,3,Manga,Rx - Hentai,-,OVA,-,5.31,635 ,Ranked N/A,Popularity #9210,1991,https://myanimelist.net/anime/2977/Youjuu_Sensen_Adventure_Kid,Horror
-,あるゾンビ少女の災難,1,Light novel,PG-13 - Teens 13 or older,-,Special,-,4.90,886 ,Ranked #11217,Popularity #9221,1989,https://myanimelist.net/anime/31014/Aru_Zombie_Shoujo_no_Sainan,Horror
-,【ゾンミちゃん】 - ミートパイ オブ ザ デッド -,1,Original,PG-13 - Teens 13 or older,-,Special,Neft Film,5.24,895 ,Ranked #10728,Popularity #9407,1850,https://myanimelist.net/anime/32934/Zonmi-chan__Meat_Pie_of_the_Dead,Horror
Hell Teacher Nube: 0 a.m. Nube Dead,地獄先生ぬ～べ～　午前0時ぬ～べ～死す！！,1,Manga,PG-13 - Teens 13 or older,-,Movie,Toei Animation,6.73,638 ,Ranked #4861,Popularity #9429,1827,https://myanimelist.net/anime/8228/Jigoku_Sensei_Nube__Gozen_0_Ji_Nube_Shisu,Horror
-,真・超神伝説 うろつき童子・魔胎伝,2,Unknown,Rx - Hentai,-,OVA,-,5.70,673 ,Ranked N/A,Popularity #9436,1830,https://myanimelist.net/anime/2342/Shin_Choujin_Densetsu_Urotsukidouji_Mataiden,Horror
Demon Beast Invasion,妖獣教室,6,Manga,Rx - Hentai,-,OVA,-,5.20,505 ,Ranked N/A,Popularity #9437,1824,https://myanimelist.net/anime/2338/Youjuu_Kyoushitsu,Horror
Order Designer,死灵编码,12,Original,R - 17+ (violence & profanity),-,ONA,Shanghai Foch Film and TV Culture Investment,5.45,325 ,Ranked #10257,Popularity #9526,1770,https://myanimelist.net/anime/33508/Si_Ling_Bianma__Zhi_Shijie_Caozong_Zhe,Horror
Spirit Warrior,真・孔雀王,2,Unknown,R+ - Mild Nudity,-,OVA,Madhouse,5.92,557 ,Ranked #8778,Popularity #9530,1759,https://myanimelist.net/anime/3599/Shin_Kujakuou,Horror
-,-,1,Original,R - 17+ (violence & profanity),-,ONA,-,3.49,886 ,Ranked #11597,Popularity #9600,1727,https://myanimelist.net/anime/34060/Dead_World,Horror
Hell Target,HELL TARGET [ヘルターゲット],1,Unknown,R - 17+ (violence & profanity),-,OVA,Nakamura Production,4.69,709 ,Ranked #11375,Popularity #9645,1689,https://myanimelist.net/anime/11411/Hell_Target,Horror
Horror News,恐怖新聞 (2014),16,Unknown,PG-13 - Teens 13 or older,-,ONA,Next Media Animation,5.65,286 ,Ranked #9672,Popularity #9646,1703,https://myanimelist.net/anime/30463/Kyoufu_Shinbun_2014,Horror
-,学校の怪談　総集編,2,Original,PG-13 - Teens 13 or older,-,Special,Studio Pierrot,6.02,504 ,Ranked #8405,Popularity #9668,1676,https://myanimelist.net/anime/22055/Gakkou_no_Kaidan_Recaps,Horror
Midnight Strike Force,妖囁,2,Unknown,Rx - Hentai,-,OVA,-,5.24,461 ,Ranked N/A,Popularity #9711,1649,https://myanimelist.net/anime/3536/Youshou,Horror
-,俺たちゃ妖怪人間,25,Original,PG-13 - Teens 13 or older,Fall 2017,TV,DLE,N/A,- ,Ranked #12112,Popularity #9728,1637,https://myanimelist.net/anime/36135/Oretacha_Youkai_Ningen,Horror
Genma Wars,幻魔大戦－神話前夜の章,13,Manga,PG-13 - Teens 13 or older,Winter 2002,TV,-,5.06,503 ,Ranked #11054,Popularity #9756,1618,https://myanimelist.net/anime/1705/Genma_Taisen__Shinwa_Zenya_no_Shou,Horror
-,端ノ向フ,1,Unknown,R - 17+ (violence & profanity),-,ONA,Iyasakadou Film,5.89,702 ,Ranked #8865,Popularity #9790,1605,https://myanimelist.net/anime/24127/Hashi_no_Mukou,Horror
Scary High School Rumors,学校のコワイうわさ　花子さんがきた！！,35,Unknown,PG-13 - Teens 13 or older,Summer 1994,TV,Group TAC,6.18,252 ,Ranked #7664,Popularity #9885,1542,https://myanimelist.net/anime/6472/Gakkou_no_Kowai_Uwasa__Hanako-san_ga_Kita,Horror
Purple Eyes in the Dark,闇のパープル・アイ,1,Manga,PG-13 - Teens 13 or older,-,Music,"J.C.Staff,             Toei Animation",4.71,585 ,Ranked #11364,Popularity #9910,1519,https://myanimelist.net/anime/9509/Yami_no_Purple_Eye,Horror
-,グレゴリーホラーショー - The Second Guest,25,Original,PG - Children,Spring 2000,TV,Milky Cartoon,6.59,712 ,Ranked #5546,Popularity #9919,1514,https://myanimelist.net/anime/12481/Gregory_Horror_Show__The_Second_Guest,Horror
-,江口寿史のNANTOKA NARUDESHO!,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.02,460 ,Ranked #11114,Popularity #9932,1512,https://myanimelist.net/anime/5554/Eguchi_Hisashi_no_Nantoka_Narudesho,Horror
U-SA-GUI,兎ガ怕イ,1,Original,R - 17+ (violence & profanity),-,Movie,-,4.65,695 ,Ranked #11404,Popularity #9952,1505,https://myanimelist.net/anime/23063/Usagi_ga_Kowai,Horror
-,妖怪人間ベム,26,Original,PG-13 - Teens 13 or older,Fall 1968,TV,Dai-Ichi Douga,6.06,309 ,Ranked #8227,Popularity #9976,1482,https://myanimelist.net/anime/4044/Youkai_Ningen_Bem,Horror
-,デビルマン メモリアル,1,Manga,R - 17+ (violence & profanity),-,OVA,Toei Animation,5.78,274 ,Ranked #9253,Popularity #9981,1485,https://myanimelist.net/anime/35952/Devilman_Memorial,Horror
Gandalla: The King of Burning Desert,熱沙の覇王ガンダーラ,26,Original,PG-13 - Teens 13 or older,Spring 1998,TV,Production Reed,5.92,147 ,Ranked #8775,Popularity #9991,1471,https://myanimelist.net/anime/3176/Nessa_no_Haou_Gandalla,Horror
Tong Zhi Zhe,通职者,10,Web manga,R - 17+ (violence & profanity),-,ONA,-,6.29,372 ,Ranked #7121,Popularity #9999,1473,https://myanimelist.net/anime/33702/Tong_Zhi_Zhe,Horror
Consultation Room,診察室,1,Original,PG-13 - Teens 13 or older,-,Movie,-,4.48,752 ,Ranked #11478,Popularity #10014,1472,https://myanimelist.net/anime/23059/Shinsatsushitsu,Horror
-,アムリタの饗宴,1,Original,R - 17+ (violence & profanity),-,Movie,-,N/A,- user,Ranked N/A,Popularity #10056,1443,https://myanimelist.net/anime/41029/Amrita_no_Kyouen,Horror
The Monster Of Frankenstein,恐怖伝説　怪奇！フランケンシュタイン,1,Unknown,R - 17+ (violence & profanity),-,Special,Toei Animation,5.51,497 ,Ranked #10096,Popularity #10067,1413,https://myanimelist.net/anime/6978/Kyoufu_Densetsu_Kaiki_Frankenstein,Horror
"Darkness of the Sea, Shadow of the Moon",海の闇、月の影,3,Manga,R - 17+ (violence & profanity),-,OVA,Magic Bus,5.91,334 ,Ranked #8823,Popularity #10077,1405,https://myanimelist.net/anime/4484/Umi_no_Yami_Tsuki_no_Kage,Horror
-,犬木加奈子絶叫コレクション 学校がこわい!,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Toei Animation,5.72,442 ,Ranked #9482,Popularity #10092,1392,https://myanimelist.net/anime/8920/Inuki_Kanako_Zekkyou_Collection__Gakkou_ga_Kowai,Horror
-,輪郭,1,Unknown,PG-13 - Teens 13 or older,-,Music,-,5.60,750 ,Ranked #9809,Popularity #10159,1349,https://myanimelist.net/anime/18831/Rinkaku,Horror
Demon Beast Resurrection,妖獣教室外伝,4,Manga,Rx - Hentai,-,OVA,-,5.17,351 ,Ranked N/A,Popularity #10175,1342,https://myanimelist.net/anime/2339/Youjuu_Kyoushitsu_Gaiden,Horror
Spy of Darkness,淫獣VS女スパイ,1,Unknown,Rx - Hentai,-,OVA,-,5.44,450 ,Ranked N/A,Popularity #10189,1334,https://myanimelist.net/anime/3428/Injuu_vs_Onna_Spy,Horror
-,グレゴリーホラーショー - The Last Train,26,Original,None,Fall 2000,TV,Milky Cartoon,6.24,580 ,Ranked #7366,Popularity #10221,1314,https://myanimelist.net/anime/12483/Gregory_Horror_Show__The_Last_Train,Horror
Karura Mau Movie,変幻退魔夜行 カルラ舞う！ 奈良怨霊絵巻,1,Manga,R - 17+ (violence & profanity),-,Movie,-,5.81,390 ,Ranked #9127,Popularity #10241,1305,https://myanimelist.net/anime/3178/Hengen_Taima_Yakou_Karura_Mau_Nara_Onryou_Emaki,Horror
-,我叫白小飞,39,Web manga,PG-13 - Teens 13 or older,-,ONA,Haoliners Animation League,6.22,183 ,Ranked #7453,Popularity #10360,1249,https://myanimelist.net/anime/33357/Wo_Jiao_Bai_Xiaofei,Horror
Cat City,猫町,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Toei Video,6.16,155 ,Ranked #7731,Popularity #10394,1223,https://myanimelist.net/anime/6270/Neko_Machi,Horror
